variants	विसंगतियाँ
compensation	मुआवजे
consent	सहमति
outline	आउटलाइन
outline	रूपरेखा
darkness	कालिमा
darkness	अन्धकार
darkness	अंधेरा
penalties	दंड
bombers	बमवर्षक
hometown	गृहनगर
holes	छेद
blow	उड़ा
cooking	खाना
cooking	बनाना
trainer	ट्रेनर
trainer	प्रशिक्षक
lawsuit	मुकदमा
chip	चिप
consciousness	चेतना
archaeology	पुरातत्व
blogs	ब्लॉग
scorer	गणक
stamp	डाकटिकट
fur	फर
ritual	अनुष्ठान
locality	मोहल्ले
trace	ट्रेस
marble	संगमर्मर
marble	संगमरमर
foundations	मूलाधार
derivative	डेरिवेटिव
boxers	मुक्केबाज
dimension	आयाम
likes	पसंद
genres	शैलियाँ
genres	घराने
genres	जाति
galleries	गैलरी
brass	ब्रास
brass	पीतल
advertisement	विज्ञापन
protagonist	नायक
mistakes	गलतियां
mistakes	ग़लतियों
mistakes	गलतियाँ
bag	बैग
bag	झोली
bag	थैला
tan	टैन
tan	टेन
witnesses	गवाहों
witnesses	गवाह
storyline	कथानक
bots	बॉट
prof	प्रो
skull	खोपड़ी
skull	कपाल
missionaries	प्रचारकों
myth	कल्पित
fees	फीस
fees	शुल्क
bet	शर्त
monks	भिक्षुओं
dancers	डांसर
dancers	नर्तक
quantity	मात्रा
inventor	आविष्कारक
proximity	निकटता
barrier	अवरोध
creatures	जीव
silence	मौन
silence	सन्नाटा
silence	ख़ामोशी
silence	खामोशी
plateau	पठार
precedent	मिसाल
intensity	तीव्रता
murders	हत्याएं
paragraphs	अनुच्छेद
costume	कॉस्ट्यूम
costume	वेशभूषा
bike	बाइक
bike	बाईक
neighborhoods	पड़ोस
imprisonment	कारावास
tin	टिन
cameras	कैमरे
fires	आग
builder	निर्माता
bullet	बुलेट
bullet	गोली
subway	भूमिगत
arrow	बाण
arrow	तीर
economist	अर्थशास्त्री
bread	रोटी
bread	ब्रैड
strategies	रणनीति
rubber	रबड़
rubber	बुलबुले
rubber	रबर
rifles	राइफल्स
governorate	मुहाफ़ज़ाह
nest	घोसला
nest	घोंसला
slam	स्लैम
miscellany	मिश्रण
audiences	दर्शकों
kilometres	किलोमीटर
pump	पम्प
pump	पंप
mathematician	गणितीय
mathematician	गणित
mathematician	गणितज्ञ
diary	डायरी
inscription	तख्ती
inscription	शिलालेख
lebanese	लेबनानी
researcher	शोधकर्ता
equality	समानता
equality	समता
philosophers	दार्शनिकों
trap	फंदा
invitation	निमंत्रण
invitation	आमंत्रण
invitation	निमन्त्रण
expertise	विशेषज्ञता
admission	दाखिले
admission	प्रवेश
certification	प्रमाणन
governance	शासन
frog	मेंढक
spa	स्पा
fever	बुखार
fever	ज्वर
melody	राग
supporter	समर्थक
surnames	उपनामों
swift	तीव्र
tuesday	मंगलवार
empress	सम्राज्ञी
capabilities	क्षमताओं
capabilities	क्षमता
capabilities	सामर्थ्य
scales	तराजू
clergy	पादरी
lifestyle	जीवनशैली
bee	मधुमक्खी
holders	धारकों
enterprises	उद्यमों
breast	स्तन
beast	जानवर
bang	बैंग
bang	धमाके
bang	बंग
enrollment	नामांकन
ceiling	छत
rainbow	इंद्रधनुष
rainbow	सतरंगी
rainbow	इन्द्रधनुष
rainbow	रेनबो
demon	राक्षस
perception	बोध
distributor	वितरक
dynamics	डायनामिक्स
algebra	बीजगणित
limestone	चूना
chaos	अव्यवस्था
chaos	अराजकता
layers	परतें
layers	लेयर
layers	परतों
bombardment	बमबारी
dot	बिंदु
dot	डॉट
dot	बिन्दु
translator	अनुवादक
soprano	सोप्रानो
workshops	कार्यशालाओं
workshops	वर्कशॉप
terrain	मैदान
console	कंसोल
vandal	बर्बर
jungle	जंगल
ballot	बैलट
placement	प्लेसमेंट
placement	अवस्थिति
fairy	परी
tourists	पर्यटक
tourists	पर्यटकों
rpm	आरपीएम
diploma	डिप्लोमा
carpenter	बढ़ई
petition	याचक
petition	याचिका
berry	बेरी
invention	आविष्कार
prairie	मैदानी
app	ऐप
app	एप्लिकेशन
finalist	फाइनलिस्ट
drag	खींचें
drag	खीचें
coordinator	समन्वयक
bombs	बम
bassist	बास
bassist	वादक
bengali	बांग्ला
bengali	बंगाली
sketch	स्केच
flooding	बाढ़
escort	अनुरक्षण
astronomy	खगोलशास्त्र
variables	चर
variables	परिवर्तनीय
rainfall	वर्षा
sphere	गोला
canvas	कैनवस
canvas	कैनवास
chest	सीने
chest	छाती
provider	प्रदाता
poles	डंडे
cabin	केबिन
civilization	सभ्यता
tongue	जीभ
cheese	चीज़
cheese	पनीर
cheese	चीज
easter	ईस्टर
rat	चूहा
insert	प्रविष्ट
cry	रोता
cry	रोना
cry	फरियाद
cry	क्राई
surfaces	सतहों
institutes	संस्थान
humor	हास्य
humor	ह्यूमर
cooperative	सहकारी
trips	यात्राएँ
lunar	चंद्र
fountain	फव्वारे
fountain	फव्वारा
maple	मेपल
verb	क्रिया
posters	पोस्टर
telecommunications	दूरसंचार
strait	जलसन्धि
nationals	नागरिकों
alphabet	लिपि
alphabet	वर्णमाला
chef	रसोइया
prizes	इनाम
prizes	पुरस्कार
shirt	कमीज
shirt	शर्ट
shirt	कमीज़
namespace	नेमस्पेस
edges	किनारों
edges	किनारे
plantation	वृक्षारोपण
acre	एकड़
missiles	मिसाइलों
missiles	मिसाइल
missiles	मिसाइलें
guides	मार्गदर्शक
finger	फिंगर
finger	अंगुली
finger	उँगली
finger	उंगली
garage	गैराज
garage	गैरेज
savage	जंगली
savage	बर्बर
shoes	जूते
barrel	बैरल
ham	हाम
ham	हैम
valve	वाल्व
analog	अनुरूप
monkey	बंदर
monkey	बन्दर
monkey	मंकी
integrity	अखंडता
definitions	परिभाषाएं
objections	आपत्ति
detection	डिटेक्शन
differential	अवकल
venus	शुक्र
salmon	सैल्मन
monarchy	बादशाही
monarchy	राजशाही
monarchy	राजतंत्र
monarchy	साम्राज्य
abortion	गर्भपात
elephant	हाथी
trademark	ट्रेडमार्क
corn	मक्की
corn	कॉर्न
corn	मकई
trucks	ट्रक
deutsche	डॉयचे
tension	तनाव
judgement	निर्णय
disasters	आपदाओं
lesbian	समलैंगिक
rays	किरणें
withdrawal	वापसी
realm	क्षेत्र
trailer	ट्रेलर
tornado	आंधी
tornado	बवंडर
aunt	चाची
aunt	मौसी
aunt	बुआ
genesis	उत्पत्ति
boyfriend	प्रेमी
boyfriend	बॉयफ्रेंड
pleasure	ख़ुशी
battalions	पलटन
sacrifice	बलिदान
faction	गुट
olive	जैतून
olive	ज़ैतून
receptor	प्रापक
molecules	अणुओं
lineup	पंक्ति
ultra	अत्यंत
bulletin	बुलेटिन
clinic	क्लीनिक
clinic	क्लिनिक
patriots	देशभक्त
patriots	देशप्रेमी
pollution	प्रदूषक
pollution	प्रदूषण
treasurer	कोषाध्यक्ष
afghan	अफगान
folklore	लोकगीत
affiliation	संबद्ध
cruiser	क्रूजर
silk	सिल्क
silk	रेशों
silk	रेशे
silk	रेशम
silk	रेशा
agreements	समझौतों
trilogy	त्रयी
eng	इंग्लैंड
specimens	नमूने
specimens	नमूनों
consumers	उपभोक्ता
cage	पिंजरे
cage	पिंजरा
correspondence	पत्राचार
bye	बाय
bye	अलविदा
employer	नियोक्ता
tibetan	तिब्बती
sociology	समाजवाद
sociology	समाजशास्त्र
capability	काबलियत
capability	क्षमता
capability	काबिलियत
panthers	पैंथर्स
objection	आपत्ति
chocolate	चाकलेट
chocolate	चॉकलेट
grandmother	दादी
fitness	फ़िटनेस
halls	हॉल
midlands	मिडलैंड्स
creature	प्राणी
android	एंड्रॉइड
filmography	फिल्मोग्राफी
deposits	जमा
apartments	अपार्टमेंट
puppet	कठपुतली
hiding	छुपाना
freeway	फ्रीवे
batteries	बैटरी
chains	कड़ियाँ
chains	जंजीरों
ear	कान
servants	नौकरों
cubs	शावक
hawk	बाज़
contestant	प्रतियोगी
altar	वेदी
exhibits	दर्शाती
threshold	पठार
threshold	दहलीज
proud	गर्व
custody	हिरासत
custody	कस्टडी
surveillance	निगरानी
allegiance	वफादारी
allegiance	निष्ठा
discharge	स्राव
discharge	डिस्चार्ज
discharge	स्खलन
discharge	निर्वहन
penny	पैनी
petroleum	पेट्रोलियम
bug	बग
bug	कीड़ा
mud	पंक
mud	कीचड़
mud	मिट्टी
honey	हनी
honey	शहद
honey	मधु
diagram	आरेख
broadcaster	प्रसारणकर्ता
complexity	जटिलता
displacement	विस्थापन
sponsor	प्रायोजक
careers	करियर
careers	व्यवसाय
wisdom	अकल
wisdom	बुद्धिमत्ता
wisdom	अक्ल
shuttle	शटल
trunk	ट्रंक
theatres	थिएटर
mandate	जनादेश
dish	थाली
recommendations	सुझाव
gymnastics	कसरत
ideology	विचारधारा
carriers	वाहक
monsters	राक्षस
harassment	उत्पीड़न
censorship	सेंसरशिप
luxury	विलासिता
ecology	पारिस्थितिकी
reviewers	समीक्षक
chronicles	इतिहास
blast	ब्लास्ट
blast	धमाका
attribution	आरोपण
sake	खातिर
hawks	चीलों
availability	उपलब्धता
lung	फेफड़ों
cedar	देवदार
stake	दाँव
bankruptcy	दिवालिया
bankruptcy	दिवालियापन
flagship	फ्लैगशिप
basement	तहखाने
spirits	स्पिरिट
spirits	आत्माओं
wheat	गेहूँ
wheat	गेहूं
membrane	झिल्ली
knockout	नॉकआउट
homeland	मातृभूमि
responsibilities	जिम्मेदारियां
responsibilities	जिम्मेदारियों
communists	कम्युनिस्टों
communists	साम्यवादियों
pavilion	मण्डप
loans	ऋण
loans	लोन
moss	काई
parody	हास्यानुकृति
yield	उपज
sizes	आकार
backup	बैकअप
sanskrit	संस्कृत
councillor	पार्षद
knife	चाकू
humanities	मानविकी
humanities	मानवता
premiership	प्रीमियरशिप
yesterday	कल
expressway	एक्सप्रेसवे
vegetation	वनस्पति
tickets	टिकट
tickets	टिकटें
plural	बहुवचन
filmmaker	फिल्मकार
zip	जिप
zip	ज़िप
updates	अपडेट्स
updates	अद्यतनीकृत
updates	अपडेट
updates	अद्यतन
restriction	प्रतिबंध
siblings	सहोदर
measurements	माप
laps	गोद
dynamo	डायनेमो
poker	पोकर
holidays	छुट्टियों
holidays	छुट्टियां
holidays	अवकाश
holidays	छुट्टियाँ
initiatives	पहलों
outlets	दुकानों
airways	एयरवेज
airways	एयरवेज़
airways	वायुमार्ग
snail	घोंघा
genocide	नरसंहार
saga	गाथा
fossils	जीवाश्मों
smoking	स्मोकिंग
smoking	धूम्रपान
leather	चमड़ा
leather	चमड़े
def	डेफ
patch	पैच
breakfast	नाश्ता
mercy	मेहरबानी
mercy	दया
mercy	रहमत
peaks	चढे
peaks	पार्ट्स
peaks	चोटियों
ore	अयस्क
bottle	बोतल
decorations	सजावट
slide	फिसल
guru	गुरु
guru	गुरू
telescope	दूरदर्शी
coral	मूंगा
coral	कोरल
coral	मूँगे
coral	मूँगा
merchants	व्यापारियों
wound	जख्म
wound	घाव
caves	गुफाएँ
caves	गुफाएं
payments	भुगतान
rouge	रूज
clue	सुराग
cure	इलाज
cure	इलाज़
slope	ढाल
slope	ढलान
organisms	जीवों
preview	पूर्वावलोकन
import	आयात
buddy	बड्डी
buddy	बडी
buddy	दोस्त
dock	गोदी
penguin	पेंगुइन
rapids	उतार
shed	बहाना
cologne	इत्र
providers	प्रदाताओं
anthem	गान
supervision	पर्यवेक्षण
investigator	अन्वेषक
lease	लीज
lease	पट्टे
cecil	सेसिल
toys	खिलौने
conrad	कोनराड
italia	इटालिया
portable	पोर्टेबल
dell	गड्ढा
bells	घंटी
composite	कम्पोजिट
composite	समग्र
councillors	पार्षदों
salary	वेतन
salary	सैलरी
blacks	अश्वेतों
objectives	उद्देश्य
tragedy	त्रासदी
slot	स्लॉट
rams	मेढ़ों
granite	ग्रेनाइट
delegation	प्रतिनिधिमंडल
portfolio	पोर्टफोलियो
machinery	मशीनों
machinery	मशीनरी
miners	खनिक
testimony	गवाही
reflection	परावर्तन
reflection	प्रतिबिम्ब
reflection	प्रतिबिंब
booth	बूथ
courage	साहस
courage	हिम्मत
midland	मिडलैंड
riots	दंगों
riots	दंगे
pier	पियर
pier	बांध
woodland	वुडलैंड
auction	नीलामी
specifications	विशेषताएँ
secrets	रहस्य
ups	यूपीएस
repairs	मरम्मत
que	कुए
bypass	उपमार्ग
alps	ऐल्प्स
liner	लाइनर
ease	आसानी
investments	निवेश
flame	लौ
flame	ज्वाला
din	शोर
rent	किराए
rent	किराया
highlands	हाइलैंड्स
verses	आयते
verses	आयतें
crane	सारस
crane	क्रेन
simulation	स्वाँग
simulation	सिमुलेशन
schemes	योजनाएं
latitude	अक्षांश
lance	लांस
lance	तलवार
keeper	रखवाला
asset	संपत्ति
prejudice	पूर्वाग्रह
horizon	क्षैतिज
horizon	क्षितिज
renovation	नवीकरण
anger	गुस्से
anger	क्रोध
anger	गुस्सा
hierarchy	पदानुक्रम
decoration	सजावट
nerve	तंत्रिका
disability	अक्षमता
disability	विकलांगता
boot	जूता
sensors	सेंसर
battlefield	रणभूमि
shells	गोले
shells	शेल
cottage	कॉटेज
cottage	कुटिया
shepherd	शेफर्ड
shepherd	गड़रिये
reservation	आरक्षण
reservation	रिज़र्वेशन
commentator	टीकाकार
sharks	शार्क
ribbon	फीता
ribbon	रिबन
infant	शिशु
vikings	वाइकिंग्स
reproduction	जनन
compliance	अनुपालन
premises	परिसर
premises	प्रांगण
hawaiian	हवाई
handbook	पुस्तिका
screenshot	स्क्रीनशॉट
transactions	लेनदेन
transactions	ट्रांजेक्शन
congressman	कांग्रेसी
shark	शार्क
choices	चुनाव
doom	अज़ाब
doom	यातना
raids	छापे
diagnosis	निदान
bride	दुल्हन
criminals	अपराधियों
advocates	अधिवक्ताओं
worry	चिंता
vacuum	शून्यता
vacuum	निर्वात
vacuum	वैक्यूम
radius	त्रिज्या
radius	दायरा
advances	अग्रिम
celebrities	हस्तियाँ
meta	मेटा
rehabilitation	पुनर्वास
synonym	समानार्थी
synonym	पर्यायवाची
synonym	पर्याय
sailor	नाविक
racism	नस्लवाद
racism	जातिवाद
negro	नीग्रो
tears	आँसू
tears	आंसू
inspection	निरीक्षण
ancestors	पूर्वजों
ancestors	पूर्वजो
barn	खलिहान
controller	नियंत्रक
burden	बोझ
encounters	मुठभेड़ों
fruits	फलों
fruits	फल
ruby	रूबी
ruby	माणिक्य
lunch	भोजन
nationalism	राष्ट्रवाद
photographers	फ़ोटोग्राफ़र
classroom	कक्षा
btw	btw
delegate	प्रतिनिधि
cups	कप्स
challenger	चैलेंजर
recommendation	अनुशंसा
instant	तत्काल
falcon	बाज
coordination	समन्वय
barracks	बैरकों
qualifier	क्वालीफायर
hardcore	कट्टर
precipitation	वर्षण
ranger	रेंजर
lily	कुमुदिनी
surveys	सर्वेक्षण
wicket	विकेट
destinations	गंतव्य
destinations	गंतव्यों
calm	शांत
contacts	संपर्क
contacts	सम्पर्क
visa	वीसा
pregnancy	गर्भावस्था
expectations	उम्मीदों
expectations	उम्मीदें
harvest	खेती
harvest	कटाई
flies	उड़ता
theft	चोरी
umpires	अंपायर
beats	धड़कता
beats	बीट्स
chances	संभावना
petty	क्षुद्र
dedication	लगन
dedication	निष्ठा
dedication	समर्पण
clarence	क्लेरेंस
sunset	सूर्यास्त
anthropology	मानवशास्त्र
reward	पुरस्कार
reward	सवाब
reward	बदला
gateway	द्वार
chronic	दीर्घकालिक
donations	दान
imaging	इमेजिंग
europa	यूरोपा
pig	सूअर
pig	सुअर
whale	व्हेल
beaches	समुद्रतट
archipelago	द्वीपसमूह
attributes	गुण
minerals	मिनरल्स
minerals	खनिज
justification	औचित्य
participant	भागीदार
typhoon	आंधी
typhoon	तूफ़ान
tram	ट्राम
alignment	सचेतक
alignment	संरेखण
ivory	हाथीदांत
constellation	तारामंडल
constellation	नक्षत्र
frames	ढांचा
frames	फ्रेम
frames	फ़्रेम
frames	गठन
frames	फ्रेम्स
eden	ईडन
relevance	प्रासंगिक
relevance	प्रासंगिकता
interference	हस्तक्षेप
candy	कैंडी
trends	रुझान
funk	दुर्गंध
pot	पॉट
pot	कलश
pot	घट
crews	कर्मचारियों
paths	पथ
paths	राहें
guarantee	गारंटी
raj	राज
servers	सर्वर्स
servers	सर्वर
rabbit	खरगोश
phi	फाई
sectors	सेक्टर
corners	किनारे
powder	पाउडर
powder	चूर्ण
clips	क्लिप्स
wives	पत्नियाँ
wives	पत्नियां
wives	पत्नियों
plaque	पट्टिका
summers	ग्रीष्म
precision	परिशुद्धता
sunshine	धूप
sunshine	सनशाइन
linguistics	भाषाविज्ञान
savings	बचत
toxic	विषाक्त
rolls	रोल्स
liver	यकृत
liver	लिवर
liver	जिगर
mob	भीड़
alert	सतर्क
alert	अलर्ट
alert	चेतावनी
loyalty	वफादारी
reunion	रीयूनियन
reunion	पुनर्मिलन
collision	टकराव
collision	टक्कर
