ханау	hanau
мъртъв	dead
петата	heel
заряд	charge
подправки	seasoning
подправки	spices
подправки	condiments
подправки	spice
разтвор	solution
ума	mind
черво	intestine
черво	bowel
черво	colon
хумор	humor
хумор	humour
популация	population
подобрения	upgrades
подобрения	improvements
подобрения	enhancements
подобрения	improvement
организиране	organize
организиране	organise
организиране	organising
организиране	organizing
поеми	poems
ужасите	horrors
злото	evil
култ	cult
трафик	traffic
трафик	trafficking
погребението	funeral
монахиня	nun
спонсор	sponsor
остатъци	residue
остатъци	leftovers
остатъци	residues
робство	slavery
робство	bondage
династии	dynasties
долини	valleys
детство	childhood
стаята	room
битките	battles
битките	fights
струга	lathe
подобие	similarity
патрон	patron
патрон	cartridge
увеличение	zoom
увеличение	increase
увеличение	magnification
възпитание	nurture
възпитание	education
възпитание	upbringing
устойчивост	stability
устойчивост	sustainability
устойчивост	resistance
устойчивост	persistence
устойчивост	resilience
камери	cameras
експерти	experts
подчинение	obedience
подчинение	submission
затруднения	difficulty
затруднения	difficulties
приказка	tale
приказка	fairytale
приказка	story
метър	metre
метър	meter
модификации	modifications
свързване	binding
свързване	connection
свързване	bonding
свързване	connecting
свързване	connect
променливи	variable
променливи	variables
психоаналитик	psychoanalyst
удоволствие	pleasure
неизвестна	unknown
сок	juice
пейзаж	scenery
пейзаж	landscape
ивици	stripes
затваря	closes
клетва	vow
клетва	oath
покровител	patron
сблъсъци	clashes
сблъсъци	collisions
съветници	advisers
съветници	advisors
съветници	councillors
съветници	counselors
показател	benchmark
показател	index
показател	indicator
пробив	breakthrough
пробив	breach
комунизма	communism
църквите	churches
домашен	homemade
кооперация	cooperative
конкурси	competitions
конкурси	contests
бук	beech
германци	germans
компютъра	computer
реализъм	realism
делегати	delegates
настояване	insistence
ботове	bots
повреда	failure
повреда	damage
повреда	malfunction
дива	diva
археология	archeology
археология	archaeology
ескадрила	squadron
шум	noise
опитът	experience
стълб	pillar
стълб	pole
заден	rear
опери	operas
прием	intake
прием	reception
кристали	crystals
сървър	server
училищата	schools
фотограф	photographer
лого	logo
лого	logos
материалите	materials
почит	tribute
почит	veneration
почит	homage
атлетика	athletics
съдът	court
хирургия	surgery
отражение	reflection
влакна	fibres
влакна	fibers
влакна	fiber
влакна	fibre
поделение	unit
джонатан	jonathan
отдели	departments
илюстрация	illustration
романс	romance
дъно	bottom
заплахи	threats
женско	female
интерпретация	interpretation
кухина	cavity
успехите	successes
имущество	property
приключения	adventures
приключения	adventure
спасение	salvation
секции	sections
доклади	reports
домове	homes
олтара	altar
оставката	resignation
реализация	realisation
реализация	realization
усвояване	absorption
палма	palm
шапка	hat
карат	carats
сянка	shadow
сянка	shade
честта	honour
честта	honor
героиня	heroine
лисица	fox
хребет	ridge
ритуали	rituals
ритуали	rites
паунда	pounds
титан	titanium
титан	titan
вдовицата	widow
магия	sorcery
магия	magic
палуба	deck
уравнение	equation
експерт	expert
влакове	trains
равновесие	balance
равновесие	equilibrium
процедури	procedures
служителите	employees
съюзи	unions
съюзи	alliances
възли	knots
възли	nodes
възли	nodules
групова	group
трън	thorn
зрителите	viewers
зрителите	audience
барабанист	drummer
червеи	worms
червеи	worm
буквите	letters
конференции	conferences
баница	pie
атентат	assassination
атентат	bombing
пейзажи	scenery
пейзажи	landscapes
възрастен	adult
соли	salts
водачи	drivers
водачи	guides
водачи	leaders
обвинение	accusation
преден	front
комунист	communist
шампиона	champion
крилото	wing
преработка	processing
преработка	revision
папагали	parrots
молитва	prayers
молитва	prayer
небе	sky
небе	skies
канцлер	chancellor
случаят	case
държавник	statesman
божество	deity
домейн	domain
съдействие	cooperation
плат	platt
плат	cloth
плат	fabric
разум	sense
телата	bodies
отсъствие	absence
бокса	boxing
възникване	occurrence
съседи	neighbors
съседи	neighbours
въртене	rotate
въртене	spin
въртене	spinning
въртене	pivot
въртене	rotation
атоми	atoms
облак	cloud
хищници	predators
съмнения	doubt
съмнения	doubts
продължения	sequels
легендите	legends
синоним	synonym
мрамор	marble
водопад	waterfall
часовник	clock
икономисти	economists
тезата	thesis
притежание	possession
притежание	ownership
послание	message
пясък	sand
пясък	sands
вселена	universe
споразумения	arrangements
споразумения	agreements
надеждата	hope
устав	statutes
устав	statute
победители	winners
гимнастика	gymnastics
предградие	suburb
предградие	suburbs
тенденции	trend
тенденции	trends
кратер	crater
мак	poppy
мак	poppies
влияния	influences
логото	logo
изчисления	calculations
консултант	consultant
познание	knowledge
скулптури	sculpture
скулптури	sculptures
трансфер	transfer
пивоварна	brewery
офанзива	offensive
хървати	croats
хървати	croatians
баскетбол	basketball
взрив	bang
взрив	blast
взрив	explosion
оръдието	cannon
недостатъци	faults
недостатъци	shortcomings
недостатъци	deficiencies
недостатъци	flaws
недостатъци	defects
посещения	visits
бот	bot
зърно	nipple
зърно	grain
запаси	stocks
десау	dessau
противоречия	contradictions
противоречия	controversy
съперник	rival
съперник	opponent
поетът	poet
съгласието	consent
палубата	deck
господ	god
руда	ore
готите	goths
скоби	clamps
скоби	staples
скоби	braces
скоби	brackets
фрази	phrases
тунел	tunnel
тунел	wormhole
картофи	potatoes
картофи	potato
инфекции	infections
елита	elite
изхода	outlet
изхода	exit
бройки	pieces
еквивалент	equivalent
експеримент	experiment
върхът	topper
върхът	peak
арабска	arabian
ислям	islam
риска	risk
агенции	agencies
иконата	icon
епидемия	outbreak
епидемия	epidemic
кореспонденция	correspondence
племенница	niece
селекция	selection
близостта	closeness
пътувания	journeys
пътувания	travel
пътувания	trips
бай	bai
постановка	setup
постановка	staging
ъгъла	corner
свободи	freedoms
ръба	edge
лири	quid
лири	lira
лири	pounds
нож	knife
астронавти	astronauts
стадий	stage
арка	arch
феномен	phenomena
феномен	phenomenon
пакет	bundle
пакет	package
дружба	friendship
дружба	companionship
фази	phases
означение	notation
означение	designation
наследниците	heirs
бригади	brigades
следите	tracks
борса	exchange
борса	market
психоанализа	psychoanalysis
тор	fertilizer
тор	manure
тор	fertiliser
мита	myth
мита	duties
клонове	branches
витамин	vitamin
плажове	beaches
духове	ghosts
духове	spirits
спад	decline
обвивка	sheath
обвивка	shell
обвивка	wrapping
приключване	completion
приключване	closure
вулкан	volcano
педагогика	pedagogy
бунтове	riots
бежанците	refugees
собственици	owners
осветление	lighting
повторение	recurrence
повторение	repetition
повторение	replay
повторение	recur
повторение	repeat
папи	popes
парламентът	parliament
кодове	codes
ренесанс	renaissance
равнини	plains
градината	garden
марш	marsh
симфония	symphony
провал	failure
автобуси	buses
дъга	rainbow
дъга	arc
мъничета	munchkins
постигането	achievement
команди	commands
мъртви	dead
телефон	phone
телефон	telephone
фокус	focus
светилища	shrines
редиците	ranks
ела	fir
летец	flier
летец	flyer
летец	airman
устава	statutes
триумф	triumph
клиентите	customers
записки	notes
пепел	ashes
пепел	ash
почвите	soils
легиони	legions
тактика	tactics
тактика	tactic
репресии	repression
репресии	reprisals
репресии	crackdown
инфекция	infections
инфекция	infection
влечуги	reptile
влечуги	reptiles
синдром	syndrome
приемник	host
приемник	receiver
банда	band
банда	gang
конкуренция	competition
променлива	variable
чудо	marvel
чудо	miraculous
чудо	miracle
чудо	wonder
чума	pestilence
чума	plague
борд	board
консумация	consumption
дракон	dragon
лук	onions
лук	onion
младежта	youth
крилете	wings
електричество	electricity
електричество	electric
институти	institutes
привилегии	privilege
привилегии	privileges
седмицата	week
чужденци	foreigners
фотографии	photographs
пръстените	rings
напредък	progress
напредък	advancement
вековете	centuries
ниши	niches
увреждания	disability
увреждания	disabilities
информатика	informatics
снаряди	projectiles
снаряди	shells
недоволство	discontent
недоволство	dissatisfaction
отмъщение	vengeance
отмъщение	revenge
повреди	damage
екипировка	equipment
депутатите	lawmakers
депутатите	mps
стабилност	stability
бюрото	bureau
бюрото	desk
словашки	slovak
царуването	reign
тръба	pipe
тръба	tube
месото	meat
такси	taxi
такси	cab
такси	fees
албумите	albums
докторат	doctorate
документа	document
статуи	statues
коридор	hallway
коридор	corridor
слухове	rumors
слухове	rumours
плячка	prey
плячка	swag
плячка	booty
параклиса	chapel
пера	feathers
противниците	opponents
кореспонденти	correspondents
петрол	petrol
петрол	oil
петрол	petroleum
оператори	operators
слива	plum
форуми	fora
форуми	forums
добавка	addition
добавка	addendum
добавка	supplement
добавка	additive
рап	rap
интервал	interval
лингвистика	linguistics
моделите	models
панорама	panorama
миграция	migration
митове	myths
мюзикъл	musical
работилница	workshop
галактика	galaxy
кавалерия	cavalry
клиент	customer
клиент	client
завой	turn
речи	speeches
светкавица	lightening
светкавица	flash
светкавица	lightning
мазнини	fats
мазнини	fat
самоубийство	suicide
екрана	screen
гласни	vowels
съкровище	sweetheart
съкровище	treasure
астероид	asteroid
заплата	salary
антропология	anthropology
американци	americans
ренесанса	renaissance
подиум	catwalk
богатството	wealth
лена	linen
етажа	floors
етажа	floor
фасада	facade
конник	horseman
конник	rider
доза	dosage
доза	dose
измервания	measurements
измервания	measurement
емблема	emblem
мускул	muscle
колонията	colony
крайници	limbs
крайници	extremities
статуята	statue
демо	demo
архиви	records
архиви	archives
архиви	archive
документите	documents
вечеря	dinner
вечеря	supper
накратко	briefly
анализи	analyses
анализи	analysis
анализи	insights
бедствия	disasters
бедствия	disaster
производни	derivatives
подводница	submarine
подводница	sub
перо	feather
свободните	fremen
въведение	introduction
въведение	intro
известия	notifications
бара	bara
бара	bar
важност	importance
