circular	кръгло
sad	тъжен
sad	тъжно
sad	тъжна
uncertain	несигурно
uncertain	несигурен
uncertain	несигурна
uncertain	несигурни
dear	мила
dear	скъпи
dear	скъпа
sovereign	суверен
sovereign	суверенна
ritual	ритуално
politically	политически
yugoslav	югославски
dirty	мръсна
dirty	мръсно
dirty	мръсни
dirty	мръсен
adequate	адекватно
adequate	адекватни
adequate	задоволителна
adequate	адекватен
adequate	адекватна
tough	труден
tough	корав
slovak	словашки
mandatory	задължителен
mandatory	задължително
mandatory	задължителна
mandatory	задължителни
stern	строг
stern	кърма
seemingly	привидно
remarkable	забележително
remarkable	забележителен
remarkable	забележителна
precise	точен
cognitive	когнитивни
vulnerable	уязвими
vulnerable	уязвимо
vulnerable	уязвима
vulnerable	уязвим
productive	продуктивни
accordingly	съответно
supposedly	предполагаемо
vague	неясно
vague	неясен
vague	неопределено
vague	неясни
secular	светска
secular	светски
armoured	брониран
armoured	бронирана
useless	безполезен
useless	безполезно
swift	бърз
silly	глупаво
baltic	балтийско
physically	физически
prussian	пруски
insufficient	недостатъчни
insufficient	недостатъчна
insufficient	недостатъчен
insufficient	недостатъчно
teenage	тийнейджър
teenage	юношески
quarterly	тримесечни
quarterly	тримесечие
explicit	изрично
oriental	ориенталски
colombian	колумбийски
voluntary	доброволни
voluntary	доброволен
voluntary	доброволна
voluntary	доброволно
sudden	внезапна
sudden	внезапно
arbitrary	произволни
arbitrary	произволна
arbitrary	произволен
arbitrary	произволно
informal	неофициален
informal	неформални
informal	неофициално
informal	неофициални
informal	неофициална
loyal	лоялни
loyal	верен
loyal	лоялен
loyal	верните
loyal	верни
lunar	лунен
evident	очевидна
unanimous	единодушни
unanimous	единодушно
crucial	решаващо
crucial	решаваща
prehistoric	праисторически
hostile	враждебна
hostile	враждебни
hostile	враждебност
hostile	враждебно
hostile	враждебен
weird	странна
weird	странно
weird	странен
wonderful	чудесен
wonderful	прекрасен
wonderful	чудесна
wonderful	прекрасна
savage	савидж
technological	технологичен
technological	технологично
technological	технологична
analog	аналогов
linguistic	езикови
polar	полярна
provisional	временни
shallow	повърхностен
shallow	плитко
shallow	повърхностно
shallow	повърхностни
shallow	повърхностна
constructive	конструктивно
constructive	конструктивен
constructive	конструктивна
constructive	конструктивни
magical	магически
magical	вълшебен
magical	вълшебно
magical	магическо
deliberately	преднамерено
deliberately	съзнателно
deliberately	умишлено
olive	маслиново
compatible	съвместимо
compatible	съвместим
compatible	съвместими
compatible	съвместима
pleasant	приятни
pleasant	приятна
miscellaneous	различни
miscellaneous	разнообразни
miscellaneous	разни
nowhere	никъде
questionable	съмнително
questionable	съмнителна
questionable	съмнителен
questionable	съмнителни
openly	открито
inferior	нисши
silk	копринена
static	статично
tibetan	тибетски
systematic	системно
systematic	систематично
systematic	системни
chocolate	шоколадов
chocolate	шоколадова
chocolate	шоколадово
brilliant	брилянтна
brilliant	брилянтен
brilliant	брилянтно
volcanic	вулканична
decent	прилично
decent	прилична
decent	приличен
rational	рационално
rational	рационален
rational	разумен
subjective	субективно
proud	горди
proud	горда
proud	горд
astronomical	астрономически
petroleum	нефтени
petroleum	нефтена
regulatory	регулаторна
regulatory	регулаторен
regulatory	регулаторни
stupid	глупава
stupid	тъпо
stupid	глупав
stupid	глупаво
continuously	непрекъснато
ecclesiastical	църковните
genuine	истински
terrible	ужасна
terrible	ужасно
terrible	ужасен
indefinitely	неопределено
