slavery	робство
broadcasts	предавания
cuts	съкращения
cuts	реже
mediation	посредничеството
mediation	посредничество
catalog	каталог
catalog	каталога
synthesis	синтез
rape	изнасилвания
rape	изнасилване
rape	изнасилена
engagement	ангажимент
engagement	годежът
engagement	годежа
engagement	годеж
engagement	ангажиране
coin	монети
coin	монета
coin	монетата
platinum	платина
twins	близнаци
twins	близнаците
twins	близначки
memories	спомени
memories	спомените
anthology	антология
dinner	вечерята
dinner	вечеря
thriller	трилър
retreat	отстъпление
migration	миграцията
migration	миграция
magnitude	величина
duration	времетраене
duration	продължителност
explorer	изследовател
fusion	синтез
aids	спин
automobile	автомобил
estates	имения
pound	паунд
pound	кг
delay	забавяне
delay	закъснение
delay	отлагане
developers	разработчиците
developers	предприемачи
semifinals	полуфиналите
mayors	кметове
assumption	допускане
assumption	предположение
plates	табели
plates	плочи
plates	чинии
nominee	номинирана
nominee	номиниран
hearts	сърца
hearts	сърцата
victories	победите
victories	победи
pale	блед
pursuit	преследване
glory	слава
destroyer	унищожител
destroyer	разрушител
lectures	лекции
lectures	лекциите
affiliate	филиал
deceased	покойник
gathering	събиране
configuration	настройване
configuration	конфигурация
skill	умение
skill	умения
commitment	ангажимент
commitment	отдаденост
commitment	ангажираност
commitment	обвързване
commitment	задължение
reforms	реформи
reforms	реформите
rulers	управници
rulers	владетели
breed	порода
auxiliary	спомагателна
discography	дискография
licence	лиценз
licence	лицензия
refugees	бежанци
refugees	бежанците
refugees	бегълци
pipe	лула
pipe	тръбата
pipe	тръба
designers	дизайнери
heir	наследник
advisor	съветник
announcement	обявяване
announcement	съобщение
announcement	обявление
compact	компактен
tissue	кърпичка
tissue	тъкан
tissue	тъкани
particles	частици
receiver	получател
receiver	приемник
civilians	цивилни
marsh	блато
vinyl	винил
wednesday	сряда
hey	хей
chambers	покои
demo	демо
followers	последователите
followers	последователи
observatory	обсерватория
observatory	обсерваторията
kit	комплект
kit	кит
remarks	забележки
inns	ханове
monarch	монарх
monarch	монархът
monarch	монарха
observations	забележки
observations	наблюдения
observations	наблюденията
beetle	бръмбар
cream	сметана
cream	крем
cream	крема
presenter	водещ
favourite	фаворит
transformation	трансформация
transformation	преобразяване
transformation	преобразуване
mixture	смес
browser	браузър
mate	половинка
mate	приятел
illustration	илюстрация
geometry	геометрията
geometry	геометрия
ping	пинг
ping	свистене
variants	варианти
baroque	барок
hopes	надеждите
hopes	надежди
modes	режими
servant	прислужник
servant	раб
servant	слуга
servant	слугиня
maker	създателя
maker	създател
inline	вградени
stability	стабилност
stability	устойчивост
summaries	обобщения
beetles	бръмбари
jets	струи
logos	лого
kilometers	километра
kilometers	километрите
kilometers	километри
songwriters	текстописци
buddhism	будизма
nose	нос
nose	носа
nose	носът
pace	темпо
pace	темп
thunder	гръм
thunder	гръмотевица
thunder	гръмотевици
physicians	лекари
physicians	лекаря
physicians	лекарите
crops	култури
crops	насаждения
toll	тол
toll	такса
monk	монах
monk	монахът
monk	монаха
lessons	поуки
lessons	уроци
pub	кръчма
segments	сегменти
deer	сърна
deer	елен
deer	еленът
deer	елена
deer	елени
wireless	безжичен
wireless	безжични
wireless	безжична
consultant	консултант
formats	формати
jam	джем
jam	конфитюр
jam	мармалад
chicken	пилешко
chicken	кокошка
chicken	пиле
chicken	пиленце
idol	идол
births	раждания
pet	любимец
stretch	разтягане
striker	нападател
striker	страйкър
goddess	богиня
goddess	богините
goddess	богинята
voltage	напрежение
geology	геология
cyclone	циклон
export	изнасяне
export	износ
lightning	светкавица
lightning	светкавици
lightning	мълния
fbi	фбр
pond	езерце
moments	мигове
moments	моменти
toy	играчка
bicycle	велосипед
bicycle	велосипеди
bicycle	колело
interactions	взаимодействия
interactions	взаимодействията
sanctuary	убежището
sanctuary	убежище
sanctuary	светилището
sanctuary	светилище
dragons	дракони
dragons	дракона
dragons	драконите
nurse	сестра
rivals	съперници
module	модул
supplement	добавка
supplement	притурка
supplement	допълнение
lens	леща
lens	лещи
patron	покровител
patron	патрон
commands	команди
commands	командите
trend	тенденции
trend	тенденция
rap	рап
blade	острие
blade	острието
array	масив
committees	комисии
committees	комитети
sailors	моряците
sailors	моряци
smoke	дим
smoke	пушек
assassination	покушение
assassination	атентат
assassination	убийство
divorce	развод
dust	прах
healthcare	здравеопазване
grain	зърна
grain	зрънце
grain	зърно
grain	жито
executives	ръководители
translations	преводи
diving	гмуркане
accounting	счетоводство
cherry	череша
cherry	чери
tobacco	тютюн
varieties	сортове
varieties	сортовете
bench	пейката
bench	пейка
directions	упътване
directions	посоки
measurement	оценяване
measurement	измервания
measurement	измерване
paradise	рай
paradise	раят
paradise	рая
complement	допълване
complement	допълнение
complement	допълват
witch	вещер
witch	вещица
attraction	привличането
attraction	привличане
attraction	атракция
personalities	личности
colleagues	колеги
screenwriter	сценарист
rankings	класация
aboriginal	аборигенски
commanders	командирите
commanders	командири
firms	фирмите
firms	фирми
sanctions	санкции
sanctions	санкциите
instructor	инструктор
nobility	благородство
tomorrow	утре
manuscripts	ръкописи
scouts	скаути
scouts	разузнавачи
scouts	скаутите
investigations	разследвания
investigations	разследване
investigations	изследвания
provision	разпоредба
provision	предоставяне
provision	осигуряване
humanity	човечеството
humanity	човечество
humanity	човечност
terror	терор
terror	ужас
contestants	състезатели
contestants	състезателя
contestants	състезателите
circles	кръгове
assignment	назначение
assignment	задача
shrine	светилище
shrine	олтар
shrine	храм
ranch	ранчото
ranch	ранчо
vampire	вампир
playwright	драматург
associates	асоциирани
associates	сътрудници
associates	съдружници
flags	знамена
flags	флагове
flags	знамената
shorts	шорти
drives	кара
drives	карат
autobiography	автобиографията
autobiography	автобиография
uprising	въстание
terminology	терминология
coordinates	координати
viola	виола
propulsion	задвижване
boxer	боксьор
shoulder	рамото
shoulder	рамо
tactics	тактики
tactics	тактика
rapper	рапър
privacy	усамотение
privacy	уединение
privacy	поверителност
flute	флейтата
flute	флейта
marines	пехотинци
feminist	феминистка
feminist	феминист
trustees	попечители
sculptures	скулптури
bacteria	бактерия
bacteria	бактерии
landmarks	забележителности
rivalry	съперничество
prevention	предотвратяване
prevention	профилактика
prevention	превенция
circus	циркът
circus	цирк
circus	цирка
speculation	спекулация
speculation	спекулации
knee	коляно
knee	коляното
hypothesis	хипотеза
hypothesis	хипотези
referendum	референдум
pastor	пасторе
pastor	пастор
pastor	пасторът
sofia	софия
tribune	трибюн
permit	разрешителното
permit	разрешително
permit	разрешение
priority	приоритетни
priority	приоритетна
priority	приоритет
pounds	паунда
pounds	лири
cent	цента
cent	цент
consequence	следствие
consequence	последица
consequence	последици
consequence	последствия
consequence	последствие
furniture	мебели
furniture	обзавеждане
furniture	мебел
rotation	завъртане
rotation	въртене
lecturer	преподавател
lecturer	преподавателят
lecturer	преподавателя
lecturer	лектор
classics	класика
exceptions	изключения
drawings	рисунки
drawings	скици
drawings	чертежи
refuge	убежище
conventions	конвенции
diplomat	дипломат
searches	търсения
brigadier	бригаден
brigadier	бригадир
particle	частица
particle	частици
thursday	четвъртък
icon	икона
icon	икони
icon	иконата
genes	гените
genes	гени
vale	долина
portraits	портрети
convoy	конвой
surgeon	хирург
surgeon	хирургът
badge	значка
badge	значката
clause	клауза
infection	заразяване
infection	инфекция
electron	електрон
confederation	конфедерация
confederation	конфедерацията
casino	казино
casino	казиното
doctorate	докторат
aux	aux
settings	настройки
mask	маска
mask	маската
shelter	подслон
shelter	приют
ethnicity	етнос
elimination	елиминиране
delegates	делегати
delegates	делегатите
phrases	фрази
preference	предпочитания
preference	предпочитание
concerto	концерт
bits	парченца
bits	късчета
bits	парчета
construct	построяване
tune	мелодия
bulk	едро
lighthouse	фара
lighthouse	фар
highland	хайленд
squadrons	ескадрили
acceptance	приемане
mess	бъркотия
mess	каша
wilderness	пустош
routine	рутина
routine	рутинна
routine	рутинно
dozens	дузини
dozens	дузина
dozens	десетки
harmony	хармония
entrepreneur	предприемач
runway	писта
revolt	бунт
revolt	въстание
investors	инвеститори
investors	инвеститорите
reliability	надеждност
tenor	тенор
fights	боеве
fights	сбивания
fights	битки
pocket	джобен
pocket	джоб
pocket	джоба
treasure	съкровища
treasure	съкровище
ion	йон
adoption	осиновяването
adoption	приемане
adoption	осиновяване
decrease	намаление
decrease	намаляване
decrease	спадане
crop	реколта
licensing	лицензиране
treasury	финансите
treasury	хазната
treasury	хазна
trumpet	тромпет
collector	колектор
collector	колекционер
cluster	клъстер
cluster	струпване
roller	ролкови
clothes	дрехите
clothes	дрехи
compensation	компенсация
compensation	компенсиране
compensation	обезщетение
compensation	компенсации
consent	съгласието
consent	съгласие
outline	очертае
holdings	стопанства
darkness	мрака
darkness	мракът
darkness	тъмнината
darkness	мрак
darkness	тъмнина
penalties	санкции
penalties	наказания
penalties	наказанията
bombers	бомбардировачи
holes	дупките
holes	дупки
blow	удар
cooking	готвенето
cooking	готвене
trainer	треньор
chip	чип
consciousness	съзнание
consciousness	съзнанието
archaeology	археология
blogs	блогове
scorer	голмайстор
stamp	печат
fur	козина
fur	козината
fur	кожи
estimates	оценки
ritual	ритуал
locality	местност
marble	мрамор
marble	топче
foundations	основи
foundations	фондации
derivative	деривати
boxers	боксьори
dimension	измерение
bats	прилепи
bats	бухалки
motto	девиз
motto	мотото
motto	мото
streak	жилка
likes	харесвания
genres	жанрове
galleries	галерии
brass	месинг
alias	псевдоним
counsel	адвокат
advertisement	обява
advertisement	реклама
trails	пътеки
mistakes	грешки
bag	сак
bag	чантата
bag	торбичка
bag	чанта
bag	торба
tan	тен
climb	изкачване
witnesses	свидетелите
witnesses	свидетели
witnesses	очевидци
storyline	сюжет
bots	ботове
highlights	кичури
highlights	подчертава
prof	проф
skull	черепът
skull	череп
skull	черепа
missionaries	мисионери
myth	мит
myth	мита
fees	хонорари
fees	такси
bet	залог
bet	облог
monks	монаси
monks	монаха
monks	монасите
dancers	танцьорки
dancers	танцьори
dancers	танцьорите
quantity	количество
inventor	изобретател
inventor	изобретателят
inventor	изобретателя
graves	гробове
graves	гробовете
proximity	близост
armament	въоръжение
barrier	преграда
barrier	бариера
creatures	твари
creatures	създания
creatures	същества
silence	тишина
silence	мълчание
silence	мълчанието
silence	тишината
plateau	платото
plateau	плато
precedent	прецедент
zones	зони
zones	зоните
intensity	интензитет
intensity	интензивност
exterior	външно
murders	убийства
paragraphs	параграфи
costume	костюм
bike	велосипед
bike	мотор
bike	мотора
bike	колело
bike	колелото
neighborhoods	квартали
imprisonment	затвор
cameras	камери
cameras	фотоапарати
ammunition	муниции
ammunition	боеприпаси
ammunition	амуниции
fires	огньове
fires	пожари
builder	строител
bullet	куршум
subway	метро
subway	метрото
arrow	стрелка
arrow	стрела
arrow	стрелата
economist	икономист
bread	хляб
bread	хляба
strategies	стратегии
rubber	каучук
rubber	гума
rifles	пушки
nest	гнездо
nest	гнездото
boarding	пансион
bonds	облигации
kilometres	километри
kilometres	километра
kilometres	километрите
pump	помпата
pump	помпа
prey	плячка
mathematician	математик
diary	дневник
diary	дневника
diary	дневникът
inscription	надпис
inscription	посвещение
lebanese	ливански
researcher	изследовател
della	дела
della	дело
demonstration	демонстрация
demonstration	демонстрации
demonstration	доказване
equality	равенство
equality	равнопоставеност
equality	равенството
philosophers	философи
trap	клопка
trap	капан
invitation	покани
invitation	покана
expertise	експертиза
admission	допускане
admission	приемане
sacramento	сакраменто
certification	сертифициране
submarines	подводници
governance	управление
frog	жаба
tracking	следене
tracking	проследяване
spa	спа
publicity	гласност
publicity	публичност
publicity	известност
watts	вата
fever	треска
fever	температура
melody	мелъди
melody	мелодия
supporter	поддръжник
supporter	привърженик
tuesday	вторник
empress	императрицата
empress	императрица
capabilities	способности
scales	везни
scales	люспи
clergy	духовенството
bee	пчела
holders	притежатели
holders	притежателите
enterprises	предприятия
enterprises	предприятията
sequences	последователности
breast	гърди
breast	гърдата
breast	гръд
breast	гърда
beast	звяр
raja	раджа
educator	възпитател
educator	педагог
bang	взрив
griffin	грифин
proportion	съотношение
ceiling	таван
ceiling	тавана
rainbow	дъгата
rainbow	дъга
demon	демон
equations	уравнения
perception	възприятия
perception	схващане
perception	възприятие
perception	възприемане
distributor	дистрибутор
entities	образувания
entities	субекти
dynamics	динамика
algebra	алгебра
limestone	варовик
chaos	хаосът
chaos	хаос
layers	пластове
layers	слоеве
crater	кратер
crater	кратера
excess	излишък
bombardment	бомбардировки
bombardment	бомбардировка
ashley	ашли
dot	дот
dot	точка
translator	преводач
translator	преводачът
translator	преводача
cowboys	каубоите
cowboys	каубои
soprano	сопрано
workshops	семинари
terrain	терена
terrain	терен
terrain	терени
console	конзолата
console	конзола
vandal	вандал
graduates	завършилите
graduates	завършили
jungle	джунгла
jungle	джунглата
placement	разполагане
placement	поставяне
placement	позициониране
fairy	феята
fairy	фея
tourists	туристи
romans	римляни
romans	римляните
rpm	обороти
rpm	rpm
diploma	диплома
diploma	дипломата
environments	среди
environments	средите
swan	лебед
carpenter	дърводелец
petition	петиция
berry	бери
invention	изобретението
invention	изобретение
prairie	прерията
bend	бенд
bend	завой
app	приложение
finalist	финалист
drag	влачене
drag	v
quarterfinals	четвъртфиналите
planes	самолети
manufacture	производство
manufacture	изработване
coordinator	координатор
bombs	бомбите
bombs	бомби
bassist	басист
bengali	бенгали
sketch	скица
sketch	скеч
flooding	наводнения
flooding	наводнение
escort	ескорт
astronomy	астрономия
astronomy	астрономията
variables	променливи
variables	променливите
skiing	ски
skiing	ските
cello	виолончело
cello	чело
rainfall	валежи
sphere	сферата
sphere	сфера
cinematography	кинематография
canvas	платно
canvas	платна
chest	гърди
chest	гърдите
provider	доставчик
poles	поляците
poles	поляци
poles	стълбове
cabin	бунгало
cabin	хижа
cabin	каюта
cabin	кабина
cabin	колиба
cabin	хижата
civilization	цивилизация
civilization	цивилизацията
tongue	език
panels	панели
darwin	дарвин
cheese	сирена
cheese	кашкавал
cheese	сирене
easter	великденски
easter	великден
rat	рат
rat	плъх
rat	плъхове
insert	вмъкване
descriptions	описанията
descriptions	описания
debates	разисквания
debates	дебати
castles	замъци
surfaces	повърхности
institutes	институти
humor	хумор
madonna	мадона
cooperative	кооперация
trips	пътувания
trips	екскурзии
fountain	фонтан
maple	кленов
maple	мейпъл
verb	глагол
illustrations	илюстрации
mechanisms	механизмите
mechanisms	механизми
reds	червени
posters	плакати
telecommunications	телекомуникациите
strait	пролива
nationals	граждани
alphabet	азбука
alphabet	азбуката
chef	шеф
chef	шефът
chef	шефа
chef	готвач
tubes	тръби
prizes	награди
shirt	тениска
shirt	риза
shirt	ризата
shirt	блуза
edges	ръбове
edges	краища
plantation	плантация
acre	акър
missiles	ракетите
missiles	ракети
guides	водачи
finger	пръст
finger	пръста
garage	гараж
garage	гаража
savage	дивак
savage	диваци
savage	див
shoes	обувките
shoes	обувки
barrel	буре
barrel	бъчва
barrel	цев
barrel	варел
biographies	биографии
spite	злоба
spite	напук
ham	хам
ham	шунка
valve	клапан
valve	клапа
monkey	маймунка
monkey	маймуни
monkey	маймуна
integrity	почтеност
integrity	цялост
definitions	определения
operas	опери
objections	възражения
marina	марина
detection	откриване
sixty	шестдесет
differential	диференциал
salmon	сьомга
monarchy	монархия
monarchy	монархията
abortion	аборт
abortion	аборти
abortion	абортите
elephant	слонове
elephant	слонът
elephant	слона
elephant	слон
ton	тон
corn	царевица
trucks	камиони
trucks	камионите
tension	напрежение
judgement	преценка
physicist	физик
disasters	бедствията
disasters	бедствия
lesbian	лесбийка
lesbian	лесбийки
rays	лъчи
withdrawal	отнемане
withdrawal	теглене
withdrawal	оттегляне
walks	разходки
trailer	ремарке
trailer	каравана
tornado	торнадо
aunt	леля
genesis	битие
makers	създателите
floors	етажите
floors	подове
floors	етажи
floors	етажа
boyfriend	гадже
boyfriend	гаджето
catholicism	католицизма
pleasure	удоволствие
battalions	батальони
alberto	алберто
sacrifice	жертвоприношение
sacrifice	жертва
sacrifice	саможертва
faction	фракция
olive	олив
olive	маслина
corridor	коридор
corridor	коридора
receptor	рецептори
receptor	рецептор
molecules	молекули
molecules	молекулите
vista	виста
lineup	разпознаване
ultra	ултра
bulletin	бюлетин
clinic	клиника
clinic	клиниката
patriots	патриоти
patriots	патриотите
pollution	замърсяване
treasurer	ковчежник
treasurer	касиер
folklore	фолклор
affiliation	принадлежност
cruiser	крайцер
princes	принцовете
princes	принцове
silk	коприна
agreements	споразумения
trilogy	трилогия
armour	броня
armour	доспехи
eng	инж
stamps	печати
stamps	марките
stamps	марки
specimens	образци
specimens	екземпляри
consumers	потребители
consumers	потребителите
cage	клетка
correspondence	кореспонденцията
correspondence	кореспонденция
bye	чао
employer	работодател
sociology	социология
capability	способност
panthers	пантери
panthers	пантерите
objection	възражение
chocolate	шоколад
grandmother	бабо
grandmother	баба
fitness	годност
fitness	фитнес
halls	зали
halls	коридори
creature	създание
creature	същество
android	андроид
deposits	депозити
mentor	наставник
mentor	ментор
apartments	апартаменти
apartments	апартамента
apartments	апартаментите
puppet	кукла
puppet	марионетка
freeway	магистрала
freeway	магистралата
batteries	акумулатори
batteries	акумулатора
batteries	акумулаторите
batteries	батерии
batteries	батериите
chains	вериги
chains	окови
ear	уши
ear	ухо
ear	ухото
servants	прислуга
servants	слугите
servants	слуги
servants	прислужници
servants	служители
cubs	малките
deputies	заместници
deputies	депутати
hawk	ястреб
contestant	участник
contestant	състезател
contestant	състезателят
contestant	състезателя
cumberland	къмбърланд
altar	олтар
altar	олтара
exhibits	експонати
determination	решителност
determination	решимост
determination	определяне
threshold	праг
custody	попечителство
surveillance	надзор
surveillance	наблюдение
allegiance	вярност
allegiance	преданост
discharge	разреждане
penny	пени
rector	ректор
petroleum	нефт
petroleum	петрол
bug	бръмбар
bug	бъг
bug	буболечка
mud	кал
mud	калта
mud	тиня
mud	кални
decree	декрет
decree	указ
decree	постановление
honey	мила
honey	скъпа
diagram	диаграма
infringement	нарушение
complexity	сложност
complexity	сложността
displacement	изместване
sponsor	спонсор
careers	кариери
careers	кариера
wisdom	мъдростта
wisdom	мъдрост
shuttle	совалката
shuttle	совалка
relegation	изпадане
trunk	багажника
trunk	багажник
guitarists	китаристи
theatres	театри
artifacts	артефактите
artifacts	артефакти
handful	буйно
handful	шепа
mandate	мандат
dish	блюдо
dish	ястие
divide	разделение
recommendations	препоръки
gymnastics	гимнастика
gymnastics	гимнастиката
