stem	stilk
outbreak	udbrud
handball	håndbold
georgian	georgiske
trek	trek
arch	buen
arch	ark
arch	almost
arch	used
arch	in
arch	biblical
keys	taster
keys	nøgler
keys	nøglerne
quartet	kvartetten
propaganda	propaganda
disk	disk
disk	diskette
punishment	straf
punishment	straffe
punishment	afstraffelse
accuracy	nøjagtighed
accuracy	rigtighed
accuracy	præcision
meter	meter
meter	måler
suspension	suspension
suspension	suspendering
suspension	ophæng
suspension	suspenderet
suspension	udsættelse
graduation	eksamen
graduation	graduering
seeds	såsæd
seeds	udsæd
seeds	frø
lighting	belysningen
lighting	belysning
customer	kunden
customer	kunde
taste	smage
taste	smagsprøve
taste	smag
boulevard	boulevard
sending	afsendelse
strikes	strejker
reconstruction	genopbygning
reconstruction	rekonstruktion
chronicle	krønike
rebel	rebel
rebel	oprører
pianist	pianist
canon	canon
canon	kanon
pack	pak
pack	pakning
cyclists	cyklister
payment	indbetaling
payment	betaling
payment	udbetaling
payment	betalingen
suburbs	forstad
suburbs	forstæder
suburbs	forstæderne
militia	militser
militia	milits
militia	militsen
exhibit	udstille
exhibit	udstilling
compromise	kompromis
compromise	kompromiser
jail	fængsel
jail	fængslet
townships	townships
deals	handler
deals	aftaler
dos	dos
afternoon	eftermiddagen
afternoon	eftermiddags
afternoon	eftermiddag
recall	tilbagekaldelse
warrior	kriger
warrior	krigeren
mammals	pattedyr
dimensions	dimensioner
dimensions	dimensionerne
gaming	gaming
lutheran	luthersk
ports	havne
ports	porte
survival	overlevelsen
survival	overlevelse
responses	respons
scandal	skandalen
scandal	skandaler
scandal	skandale
widow	enke
widow	enken
swing	gynge
swing	sving
nights	aftener
nights	nætter
polo	polo
probability	sandsynligheden
probability	sandsynlighed
conferences	konferencerne
conferences	konferencer
witness	vidnet
witness	vidne
witness	vidner
witness	also
witness	vidne
nephew	nevø
diet	diæt
diet	kost
diet	also
diet	very
diet	common
diet	kur
clients	klienterne
clients	klienter
clients	kunder
fringe	fringe
fringe	kant
passion	lidenskab
passion	passion
rings	ringe
millions	millioner
dialect	dialekt
relay	relæ
cruise	sejltur
cruise	krydstogt
cruise	cruise
joy	glæde
joy	livsglæde
kitchen	køkken
kitchen	køkkenet
snake	slange
snake	slangen
comedian	komiker
motorcycle	motorcykel
motorcycle	motorcykler
arsenal	arsenal
millennium	årtusindskiftet
millennium	årtusind
bow	buk
bow	sløjfe
bow	bov
bow	bue
serie	serie
firing	fyring
firing	affyring
suite	suite
suite	suiten
gravity	tyngdekraften
gravity	tyngdekraft
gravity	tyngde
frontier	grænse
evaluation	evaluering
evaluation	vurdering
evaluation	bedømmelse
graph	diagram
graph	figur
graph	graf
hybrid	hybrid
metre	meter
keyboard	tastatur
keyboard	tastaturet
keyboard	keyboard
slavery	slavehandel
slavery	slaveriet
slavery	slaveri
operators	operatører
armor	rustning
armor	panser
mechanics	mekanik
footage	optagelser
strings	snore
strings	strenge
header	header
header	overskrift
hood	hætte
hood	hætten
hood	hood
inspector	kontrollør
inspector	inspektør
warnings	advarsler
relatives	slægtninge
relatives	pårørende
plains	sletter
wheels	hjul
wheels	hjulene
criterion	kriteriet
criterion	kriterium
ace	es
arrangements	ordning
arrangements	arrangementer
arrangements	ordninger
joke	vits
joke	joke
joke	spøg
joke	vittighed
religions	religioner
grants	stipendier
grants	tilskud
tributary	biflod
pin	nål
pin	pinkode
pin	pin
prototype	prototypen
prototype	prototype
midnight	midnat
quarterback	quarterback
exploration	efterforskning
exploration	udforskning
diversity	forskelligartethed
diversity	forskellighed
diversity	mangfoldighed
diversity	diversitet
findings	fund
findings	undersøgelsesresultater
planets	planeterne
planets	planeter
theatrical	teatralsk
reconnaissance	rekognoscering
shots	skud
shots	shots
complaint	klagen
complaint	klage
girlfriend	veninde
girlfriend	kæresten
girlfriend	kæreste
resignation	fratræden
resignation	opsigelse
resignation	fratrædelse
fossil	fossil
tang	tang
inches	tommer
surrender	overgivelse
substance	stof
substance	substans
explosion	eksplosioner
explosion	eksplosionen
explosion	eksplosion
generations	generationers
generations	generationerne
generations	generationer
duck	and
duck	ænder
duck	duk
porter	porter
zoo	zoo
wording	ordlyden
wording	affattelse
wording	affattelsen
wording	ordlyd
wording	formulering
portions	portioner
ethics	etik
depot	depot
gaelic	gælisk
egg	ægget
egg	æg
conquest	erobringer
conquest	erobring
rod	stang
algorithm	algoritme
thesis	afhandling
thesis	tese
marshal	sherif
judaism	jødedommen
balls	kugler
balls	bolde
balls	nosser
balls	boller
wrestlers	brydere
sin	synder
sin	synd
holocaust	holocaust
saxophone	saxofon
curriculum	undervisningsplan
curriculum	curriculum
curriculum	pensum
wishes	ønsker
ruins	ruiner
ruins	ruin
ruins	ruinerne
atlas	atlas
telegraph	telegraf
cannon	kanonen
cannon	kanon
cannon	kanoner
catalogue	katalog
catalogue	kataloget
catalogue	kataloger
discrimination	forskelsbehandling
discrimination	diskriminering
discrimination	diskrimination
wizard	guiden
wizard	troldmanden
wizard	troldmand
wizard	guide
teen	teenager
spots	pletter
bomber	bombemanden
bomber	bombefly
foods	fødevarer
quest	søgen
quest	togt
screenplay	manuskript
motors	motorer
motors	motors
muscle	muskel
muscle	muskler
muscle	musklen
muscle	musklerne
sheep	får
complaints	klager
complaints	klagerne
complaints	klage
nursing	sygepleje
defenders	forsvarere
triangle	trekanten
triangle	trekant
teeth	tænderne
teeth	tænder
fluid	væske
documentation	dokumentation
compounds	forbindelser
laser	laseren
sculptor	billedhugger
guild	guild
observer	observatøren
observer	observatør
observer	iagttager
worlds	verdener
wrestler	bryder
parishes	sogne
bones	knogler
css	css
contracts	kontrakter
contracts	aftaler
consequences	konsekvenserne
consequences	konsekvenser
consequences	følgerne
provisions	hensættelser
provisions	bestemmelser
provisions	proviant
circulation	omløb
circulation	oplag
circulation	cirkulation
butterfly	sommerfugl
butterfly	sommerfugle
armies	hære
separation	adskillelse
spy	spion
spy	udspionere
spy	spionen
cliff	klippe
cliff	klint
reactions	reaktioner
reactions	reaktionerne
reactions	tilbagemeldinger
trick	trick
curve	kurve
accidents	arbejdsulykker
accidents	ulykker
accidents	uheld
accidents	ulykkestilfælde
legends	legender
legends	sagn
enzyme	enzym
enzyme	enzymet
freight	gods
freight	fragt
hydrogen	brint
hydrogen	hydrogen
broadcasts	udsendelser
twentieth	tyvende
cuts	udskæringer
cuts	nedskæringer
mediation	formidling
mediation	mægling
airfield	flyveplads
catalog	katalog
catalog	kataloget
synthesis	syntese
synthesis	sammenfatning
synthesis	sammenfattende
rape	raps
rape	voldtægter
rape	voldtægt
engagement	interaktion
engagement	forlovelse
coin	mønt
coin	mønter
platinum	platin
twins	tvillinger
twins	tvillingerne
memories	erindringer
memories	minder
anthology	antologi
dinner	aftensmad
dinner	middag
dinner	aftensmaden
thriller	thriller
retreat	tilbagetog
retreat	retræte
migration	vandringer
migration	migration
migration	udvandring
migration	indvandring
magnitude	størrelsesorden
duration	varighed
duration	løbetid
explorer	opdagelsesrejsende
fusion	fusion
fusion	sammensmeltning
aids	aids
aids	hjælpemidler
automobile	automobiler
automobile	bil
automobile	automobil
estates	godser
fault	skyld
pound	pund
delay	forsinkelse
delay	forsinkelser
developers	udviklere
mayors	borgmestre
assumption	antagelse
assumption	formodning
plates	plader
plates	tallerkener
plates	tallerkner
nominee	nominerede
disruption	forstyrrelse
disruption	afbrydelse
hearts	hjerter
victories	sejre
pursuit	forfølgelsen
glory	hæder
glory	herlighed
glory	ære
glory	pragt
destroyer	ødelægger
affiliate	tilknyttet
deceased	afdød
deceased	afdøde
gathering	forsamling
configuration	indstilling
configuration	konfiguration
skill	dygtighed
skill	færdighed
skill	færdigheder
commitment	tilsagn
commitment	engagement
commitment	forpligtelse
reforms	reformer
reforms	reformerne
rulers	magthavere
rulers	herskere
breed	race
breed	racen
auxiliary	medhjælper
discography	diskografi
licence	licens
refugees	flygtninge
refugees	flygtningene
pipe	pibe
pipe	rør
designers	designere
heir	arving
advisor	rådgiver
announcement	meddelelse
announcement	bekendtgørelse
announcement	udmelding
announcement	annoncering
compact	kompakt
tissue	vævet
tissue	væv
particles	partikler
particles	partiklerne
receiver	modtager
civilians	civilister
civilians	civile
marsh	mose
marsh	mosen
vinyl	vinyl
wednesday	onsdag
checking	kontrollerer
checking	checker
checking	tjekker
chilean	chiles
chilean	chilenske
chambers	afdelingerne
chambers	kamre
chambers	afdelinger
demo	demo
followers	følgere
followers	tilhængere
observatory	overvågningscenter
observatory	observatoriet
observatory	observatorium
remarks	bemærkninger
remarks	anmærkninger
inns	kroer
inns	inn
monarch	monark
observations	bemærkninger
observations	observationer
observations	iagttagelser
footnotes	fodnoterne
footnotes	fodnoter
beetle	bille
cream	creme
cream	fløde
favourite	yndlings
favourite	favorit
transformation	omdannelse
transformation	forvandling
transformation	transformation
mixture	blandingen
mixture	blanding
browser	browseren
browser	browser
mate	mate
mate	kammerat
mate	makker
mate	mage
illustration	illustration
brook	bæk
geometry	geometri
variants	varianter
iso	iso
hopes	forhåbninger
hopes	håb
modes	tilstande
servant	tjener
maker	skaber
inline	indlejret
inline	inline
inline	indlejrede
stability	stabilitet
summaries	sammendrag
beetles	biller
jets	jets
jets	jetfly
logos	logoer
kilometers	kilometer
songwriters	sangskrivere
buddhism	buddhisme
nose	snude
nose	næsen
nose	næse
pace	tempo
thunder	torden
physicians	læger
crops	kulturer
crops	afgrøder
toll	bompenge
toll	vejafgift
monk	munken
monk	munk
lessons	lektioner
pub	værtshus
segments	segmenter
deer	hjort
deer	rådyr
deer	hjorte
consultant	konsulent
formats	formater
jam	syltetøj
jam	marmelade
chicken	chicken
chicken	kylling
idol	idol
births	fødsler
pet	kæledyr
upset	oprørt
stretch	strækning
stretch	strække
stretch	stræk
goddess	gudinden
goddess	gudinde
notion	begreb
voltage	spænding
geology	geologi
cyclone	cyklonen
export	eksport
export	eksportere
export	udførsel
lightning	lyn
lightning	lynet
yankees	yankees
pond	dam
pond	dammen
enlisted	menige
moments	øjeblikke
lon	lon
speedway	speedway
regiments	regimenter
toy	legetøj
toy	legetøjet
toy	legetøjs
bicycle	cykler
bicycle	cykel
bicycle	cyklen
interactions	interaktioner
interactions	interaktion
interactions	samspil
fraud	svindel
fraud	bedragerier
fraud	bedrageri
fraud	svig
arcade	arcade
lecture	foredrag
lecture	forelæsning
sanctuary	fristed
sanctuary	helle
dragons	drager
dragons	dragerne
nurse	sygeplejerske
rivals	rivaler
module	modul
module	modulet
supplement	supplering
supplement	supplement
lens	linse
lens	linsen
patron	patron
commands	kommandoer
trend	trend
trend	tendens
superintendent	politikommissær
rap	rap
blade	klinge
blade	blad
array	array
committees	udvalg
committees	udvalgene
boom	boom
boom	bom
boom	bum
sailors	sømænd
smoke	røg
assassination	attentatet
assassination	mord
assassination	attentat
divorce	skilsmissen
divorce	skilsmisser
divorce	skilsmisse
dust	støv
healthcare	sundhedsvæsen
healthcare	sundhedspleje
healthcare	sundhedsydelser
grain	korn
translations	oversættelser
accounting	regnskabsføring
accounting	regnskab
accounting	regnskaber
accounting	regnskabsmæssige
accounting	bogføring
cherry	cherry
cherry	kirsebær
tobacco	tobaksvarer
tobacco	tobak
varieties	sorter
bench	bænken
bench	bænk
directions	anvisninger
directions	retninger
measurement	måling
measurement	målinger
paradise	paradiset
paradise	paradis
complement	supplere
complement	supplement
witch	heksen
witch	heks
attraction	tiltrækning
personalities	personligheder
colleagues	kolleger
colleagues	kollegaer
screenwriter	manuskriptforfatter
firms	firmaer
sanctions	sanktioner
endings	slutninger
instructor	instruktør
nobility	adel
tomorrow	imorgen
manuscripts	manuskripter
scouts	spejderne
scouts	spejdere
investigations	undersøgelser
investigations	efterforskning
agenda	dagsordenen
agenda	dagsorden
agenda	agenda
provision	hensættelser
provision	bestemmelse
humanity	medmenneskelighed
humanity	menneskelighed
humanity	menneskeheden
terror	terror
terror	rædsel
terror	terroren
contestants	deltagere
circles	cirkler
circles	kredse
assignment	overdragelse
assignment	opgave
shrine	alter
ranch	ranch
ranch	ranchen
vampire	vampyr
playwright	dramatiker
associates	associerede
flags	flag
tel	tel
tel	tlf
shorts	shorts
drives	drev
autobiography	selvbiografi
uprising	opstanden
uprising	opstand
velocity	hastighed
terminology	terminologi
coordinates	koordinaterne
coordinates	koordinater
propulsion	fremdrift
boxer	bokser
shoulder	skulder
shoulder	skulderen
shoulder	bov
disabled	handicappede
tactics	taktik
rapper	rapper
privacy	privatliv
bunch	flok
accordance	overensstemmelse
flute	fløjte
flute	fløjten
marines	marinekorpset
marines	marinesoldater
feminist	feministisk
sculptures	skulpturer
bacteria	bakterier
bacteria	bakterie
landmarks	landmærker
disorders	lidelser
disorders	sygdomme
rivalry	rivalisering
prevention	forebyggelse
circus	cirkus
speculation	spekulation
speculation	spekulationer
sec	sek
quiet	stille
knee	knæ
knee	knæet
hypothesis	hypotese
referendum	folkeafstemning
referendum	folkeafstemningen
pastor	præst
pastor	pastor
tribune	tribune
permit	tilladelse
priority	prioritet
priority	prioriteret
priority	prioriterede
priority	prioritering
pounds	pund
cent	cent
consequence	konsekvens
furniture	møbel
furniture	møbler
furniture	inventar
estimate	skøn
estimate	skønnet
estimate	overslag
estimate	anslået
estimate	estimat
rotation	rotation
rotation	drejning
lecturer	lektor
lecturer	foredragsholder
lecturer	in
lecturer	british
lecturer	i
lecturer	think
lecturer	if
lecturer	it
lecturer	is
lecturer	equivalent
lecturer	to
lecturer	associate
lecturer	professor
classics	klassikere
exceptions	undtagelser
quarters	kvartaler
drawings	tegninger
refuge	tilflugtssted
refuge	tilflugt
conventions	konventioner
conventions	overenskomster
conventions	konventionerne
diplomat	diplomat
searches	søger
searches	søgninger
brigadier	brigadegeneral
particle	partikel
thursday	torsdag
icon	ikon
genes	gener
genes	generne
vale	dal
portraits	portrætter
convoy	konvojen
convoy	konvoj
mineral	mineralske
mineral	mineral
surgeon	kirurg
surgeon	kirurgen
surgeon	kirurger
badge	skilt
badge	badge
clause	bestemmelse
clause	klausul
infection	infektioner
infection	infektion
electron	elektron
confederation	forbund
casino	kasino
doctorate	doktorgrad
settings	opsætning
settings	indstillinger
mask	maske
mask	masken
shelter	ly
ethnicity	etnicitet
elimination	afskaffelse
elimination	eliminering
elimination	fjernelse
delegates	delegerede
phrases	vendinger
phrases	sætninger
preference	forrang
preference	foretrukket
preference	præference
preference	fortrinsret
preference	fortrinsstilling
concerto	koncert
bits	bit
bits	bits
bits	stumper
construct	konstruere
tune	melodi
tune	tune
bulk	bulk
bulk	størstedelen
lighthouse	fyr
lighthouse	fyrtårn
highland	højland
mascot	maskot
squadrons	eskadroner
acceptance	accept
hub	knudepunkt
hub	nav
hub	hub
mess	rod
wilderness	naturområder
wilderness	vildmarken
routine	rutine
harmony	harmoni
entrepreneur	iværksætter
entrepreneur	entreprenør
entrepreneur	iværksættere
runway	bane
runway	landingsbane
revolt	opstand
equity	egenkapital
equity	rimelighed
investors	investorer
investors	investorerne
reliability	driftssikkerhed
reliability	pålidelighed
tenor	tenor
fights	slåskampe
fights	kampe
fights	slagsmål
pocket	lommen
pocket	lomme
treasure	skatten
treasure	skatte
ion	ion
adoption	adoption
adoption	vedtagelse
decrease	nedgang
decrease	fald
crop	afgrøde
crop	planteavl
crop	beskæring
crop	afgrøder
treasury	statskassen
treasury	finansministeriet
treasury	statskasse
trumpet	trompet
collector	samler
collector	opkøber
cluster	klynge
roller	rulle
clothes	tøjet
clothes	tøj
compensation	kompensationer
compensation	kompensation
compensation	godtgørelse
compensation	erstatning
consent	samtykke
outline	skitsere
outline	skitse
outline	omrids
holdings	besiddelser
holdings	bedrifter
darkness	mørke
darkness	mørket
penalties	sanktioner
penalties	straffe
bombers	bombefly
hometown	hjemby
holes	huller
blow	slag
blow	pust
blow	blæse
blow	blæs
cooking	madlavning
aftermath	eftervirkningerne
aftermath	eftervirkninger
trainer	træner
lawsuit	sagsanlæg
chip	chip
consciousness	bevidstheden
consciousness	bevidsthed
archaeology	arkæologi
blogs	blogger
blogs	blogs
hardy	robust
scorer	målscorer
stamp	stempel
stamp	frimærke
fur	pels
estimates	skøn
estimates	overslag
ritual	ritual
ritual	ritualer
locality	lokalområde
locality	lokalitet
trace	spore
trace	sporing
marble	marmor
foundations	fundamenter
foundations	fonde
foundations	grundlag
foundations	fundament
derivative	afledede
boxers	boksere
dimension	dimension
dimension	dimensionen
touchdowns	touchdowns
bats	flagermus
motto	motto
motto	mottoet
likes	likes
genres	genrer
galleries	gallerier
councils	rådene
brass	messing
alias	alias
alias	dæknavn
alias	kaldenavn
advertisement	reklame
advertisement	annoncering
protagonist	hovedperson
trails	stier
mistakes	fejltagelser
mistakes	fejl
bag	tasken
bag	pose
bag	taske
bag	sæk
tan	tan
tan	kulør
tan	solbrændt
witnesses	vidner
witnesses	vidnerne
bots	bots
highlights	højdepunkter
prof	prof
slovak	slovakisk
slovak	slovakiske
skull	kranie
skull	kranium
skull	kraniet
missionaries	missionærer
myth	myter
myth	myte
myth	myten
stern	agter
fees	honorarer
fees	gebyr
fees	gebyrer
fees	afgifter
fees	honorar
bet	væddemål
bet	bet
monks	munke
monks	munkene
dancers	dansere
quantity	kvantitet
quantity	mængde
inventor	opfinder
graves	grave
graves	gravene
proximity	nærhed
armament	oprustning
barrier	barrieren
barrier	hindring
barrier	barriere
creatures	væsner
creatures	væsener
creatures	skabninger
silence	stilhed
silence	tavshed
precedent	præcedens
precedent	fortilfælde
zones	zoner
intensity	intensitet
exterior	udvendige
murders	mordene
murders	mord
costume	kostumet
costume	dragt
costume	udklædning
costume	kostume
bike	cykel
bike	cyklen
neighborhoods	kvarterer
imprisonment	indespærring
imprisonment	fængselsstraf
imprisonment	fængsel
imprisonment	fængsling
tin	tin
cameras	kameraerne
cameras	kameraer
ammunition	ammunition
fires	ildebrande
fires	brande
viewing	visning
builder	bygmester
bullet	patron
bullet	kugle
subway	undergrundsbanen
subway	metroen
subway	metro
arrow	pil
economist	økonom
bread	brød
bread	brødet
strategies	strategier
strategies	strategierne
rubber	gummi
rifles	geværer
rifles	rifler
governorate	guvernement
nest	reden
nest	rede
slam	slam
slam	smække
ancestry	afstamning
audiences	målgrupper
bonds	obligationerne
bonds	obligationer
bonds	bindinger
kilometres	kilometer
pump	pumpe
pump	pump
pump	pumpen
feeding	fodring
prey	bytte
mathematician	matematiker
diary	dagbog
diary	dagbogen
inscription	inskription
lebanese	libanesiske
researcher	forsker
researcher	forskeren
demonstration	demonstration
demonstration	påvisning
equality	ligestilling
equality	lighed
equality	ligebehandling
philosophers	filosoffer
spacecraft	rumskib
spacecraft	rumfartøjer
trap	fælden
trap	fælde
invitation	opfordring
invitation	invitationen
invitation	indbydelse
invitation	invitation
marking	mærkning
marking	markering
marking	afmærkning
expertise	ekspertviden
expertise	sagkundskab
expertise	ekspertise
admission	optagelse
admission	indrejsetilladelse
admission	indrejse
certification	certificering
casting	støbning
submarines	ubåde
governance	styreformer
governance	regeringsførelse
governance	ledelse
governance	forvaltning
governance	styring
frog	frø
tracking	sporing
spa	spa
watts	watt
watts	watts
fever	feber
melody	melodi
supporter	tilhænger
surnames	efternavne
tuesday	tirsdag
empress	kejserinden
empress	kejserinde
capabilities	kapaciteter
capabilities	evner
scales	skæl
scales	skalaer
scales	vægte
clergy	præster
clergy	gejstlige
lifestyle	livsstil
lifestyle	levevis
bee	bien
bee	bi
holders	indehavere
enterprises	foretagender
enterprises	virksomhederne
enterprises	virksomheder
sequences	sekvenser
breast	bryst
beast	bæst
beast	udyr
educator	underviser
educator	pædagog
bang	knald
bang	bang
bang	brag
preparing	klargøring
proportion	andel
enrollment	inklusion
ceiling	loft
rainbow	regnbuen
rainbow	regnbue
demon	dæmon
demon	dæmonen
equations	ligninger
perception	opfattelse
perception	opfattelsen
distributor	forhandler
distributor	distributør
distributor	distributøren
entities	enheder
dynamics	dynamik
dynamics	dynamikken
larvae	larver
limestone	kalksten
chaos	kaos
layers	lag
crater	krateret
crater	månekrater
crater	krater
bombardment	bombardement
dot	prik
gif	gif
translator	tolk
translator	oversætter
cowboys	cowboys
hanging	hængning
soprano	sopran
workshops	værksteder
workshops	workshops
terrain	terrænet
terrain	terræn
console	konsol
teenage	teenager
vandal	vandal
graduates	kandidater
jungle	junglen
jungle	jungle
ballot	valgrunde
placement	placering
fairy	feen
fairy	fe
tourists	turisterne
tourists	turister
romans	romerne
romans	romere
diploma	eksamensbevis
diploma	diplom
circa	circa
environments	miljøer
environments	omgivelser
swan	svane
carpenter	snedker
carpenter	tømrer
petition	andragende
berry	bær
invention	opfindelsen
invention	opfindelser
invention	opfindelse
prairie	prærien
app	appen
app	app
app	applikation
finalist	finalist
drag	drag
drag	træk
drag	slæbe
quarterfinals	kvartfinalen
planes	fly
everyday	daglige
everyday	hverdagen
everyday	hverdag
manufacture	fremstilling
coordinator	koordinator
coordinator	koordinatoren
bombs	bomber
bombs	bomberne
