ursachen	causes
monarchie	monarchy
dokument	document
kurfürsten	elector
kurfürsten	electors
kette	necklace
kette	chain
herrenhaus	mansion
herrenhaus	manor
schicht	shift
schicht	layer
schicht	stratum
justiz	justice
justiz	judiciary
bewaffneten	gunmen
mittelmeer	mediterranean
faktor	factor
ermordung	murder
ermordung	assassination
persönlichkeit	personality
zusatz	addition
zusatz	addendum
zusatz	additive
gefangenen	prisoner
gefangenen	captive
gefangenen	prisoners
gefangenen	detainees
leutnant	lieutenant
abbau	degradation
abbau	dismantling
strategie	strategy
einheimischen	natives
einheimischen	locals
siegel	seal
ausscheiden	resignation
planungen	planning
planungen	plans
beendigung	termination
beendigung	end
publikation	publication
stoff	cloth
stoff	substance
stoff	fabric
fremden	strangers
fremden	aliens
fremden	stranger
krankheiten	illnesses
krankheiten	diseases
krankheiten	disorders
krankheiten	sickness
zentimetern	centimeters
zentimetern	cm
denkmäler	memorials
denkmäler	monuments
entlassung	discharge
entlassung	dismissal
entlassung	redundancy
stämme	tribes
stämme	strains
musikern	musicians
dialekt	dialect
dialekt	vernacular
philologie	philology
beachtung	attention
beachtung	observance
beachtung	heed
merkmal	characteristic
merkmal	feature
merkmal	trait
orthodoxen	orthodoxy
epoche	epoch
epoche	era
rechnung	account
rechnung	billing
rechnung	bill
rechnung	invoice
rechnung	invoice
browser	browsers
konsul	consul
stab	rod
stab	rod
draft	draft
wertung	scoring
wertung	rating
vorschriften	regulations
vorschriften	rules
vorschriften	requirements
vorschriften	specifications
vorschriften	provisions
eintracht	harmony
rad	wheel
götter	gods
harz	resin
schiedsrichter	arbitrator
schiedsrichter	referee
schiedsrichter	ref
schiedsrichter	umpire
schiedsrichter	referees
bestimmungen	regulations
bestimmungen	stipulations
bestimmungen	provisions
mauern	walls
gefangenschaft	imprisonment
gefangenschaft	detention
gefangenschaft	captivity
comics	comics
comics	comic
teufel	devil
teufel	satan
leinwand	canvas
leinwand	screen
hauptdarsteller	lead
rugby	rugby
vorhaben	project
vorhaben	projects
kameramann	cameraman
kameramann	cinematographer
hansestadt	hanseatic
wohnen	housing
vorfahren	ancestors
vorfahren	ancestor
level	level
ressourcen	ressources
ressourcen	resource
ressourcen	resources
essays	essays
bürgerschaft	citizenship
bürgerschaft	citizenry
vorträge	speeches
vorträge	conferences
vorträge	presentations
vorträge	talks
vorträge	lectures
haushalten	households
wilde	savages
rumpf	hull
rumpf	torso
rumpf	fuselage
rumpf	trunk
lyrik	lyric
lyrik	poetry
lyrik	lyrics
wahlbezirk	constituency
abhängigkeit	dependency
abhängigkeit	addiction
abhängigkeit	dependence
ankunft	arrival
ankunft	arriving
ankunft	arrivals
ankunft	arrival
gerichte	tribunals
gerichte	dishes
gerichte	courts
mörder	killers
mörder	killer
mörder	murderer
mörder	murderers
mörder	assassin
stürmer	strikers
stürmer	striker
naturschutz	conservation
anliegen	concerns
kohle	coal
kohle	dough
kohle	charcoal
hauptsitz	hq
hauptsitz	headquarters
kaiserreich	empire
konzern	group
konzern	corporation
konzern	concern
nordischen	norse
gebeten	prayers
wrestling	wrestling
manga	manga
demo	demo
turner	gymnast
einnahmen	income
einnahmen	revenues
einnahmen	earnings
einnahmen	receipts
einnahmen	revenue
kritiken	reviews
kritiken	criticisms
kritiken	criticism
kreuzung	crossing
kreuzung	crossroad
kreuzung	intersection
kreuzung	junction
kreuzung	crossroads
benennung	appointment
benennung	naming
benennung	nomination
benennung	designation
captain	capt
captain	captain
ausgang	output
ausgang	outgoing
ausgang	exit
erwachsenen	adults
erwachsenen	adult
anzeige	display
anzeige	advertisement
systemen	systems
trennen	separation
zwingend	compulsory
innenraum	interior
innenraum	interiors
händler	dealers
händler	distributors
händler	traders
händler	retailers
händler	distributor
händler	dealer
beförderung	carriage
beförderung	promotion
germanistik	germanic
germanistik	german
durchschnitt	average
durchschnitt	mean
singen	singing
singen	chant
camp	camp
gewerbe	trades
gefecht	battle
gefecht	skirmish
beine	legs
anführer	leader
anführer	leaders
techniken	techniques
asteroiden	asteroid
asteroiden	asteroids
betrachtung	contemplation
betrachtung	consideration
überprüfung	review
überprüfung	verification
überprüfung	inspection
böden	soils
böden	floors
böden	soils
option	option
bühnen	platforms
bühnen	stages
porsche	porsche
beurteilung	judgement
beurteilung	evaluation
beurteilung	assessment
flecken	stains
flecken	patches
flecken	spots
fliehen	escape
stoffe	fabrics
stoffe	substances
erkenntnis	realisation
erkenntnis	perception
erkenntnis	cognition
erkenntnis	insight
château	château
bruders	brother
pflicht	duty
pflicht	obligation
talent	talent
nummern	numbers
passagiere	passengers
generalsekretär	secretary
bahnen	railways
bahnen	pathways
bahnen	trains
dichtung	sealing
dichtung	gasket
dichtung	poetry
dichtung	seal
decken	ceilings
decken	blankets
decken	covers
wünsche	wishes
wünsche	wishing
wünsche	desires
nachbarn	neighbors
nachbarn	neighbour
nachbarn	neighbours
nachbarn	neighbor
ernährung	nutrition
ernährung	diet
ernährung	nutrition
vergleichen	comparisons
vergleichen	diff
lebensweise	lifestyle
lebensweise	lifestyles
tafel	blackboard
geistliche	clerics
geistliche	priest
geistliche	priests
geistliche	clergy
download	download
standpunkt	viewpoint
aktivität	activity
ära	era
abteilungen	divisions
abteilungen	departments
abteilungen	compartments
störungen	malfunctions
störungen	disruptions
störungen	disorders
störungen	disturbances
störungen	interferences
sportarten	sports
halbe	halves
halbe	half
obergeschoss	upstairs
sturz	downfall
sturz	fall
aufzeichnungen	records
aufzeichnungen	recordings
forst	forestry
forst	forest
hang	slope
stadtmauer	walls
stadtmauer	ramparts
labor	laboratory
labor	lab
samstag	saturday
samstag	saturdays
restaurierung	restoration
restaurierung	renovation
restaurierung	restorations
umzug	relocation
umzug	moving
umzug	parade
umzug	removal
ski	skis
ski	ski
weichen	switches
ansprechen	response
held	hero
erhöhung	increase
erhöhung	elevation
erhöhung	enhancement
kfz	car
wüste	desert
wüste	wilderness
wüste	desert
polizisten	cops
polizisten	policemen
polizisten	police
polizisten	officers
polizisten	policeman
latein	latin
invasion	invasion
selbständige	independents
güterverkehr	freight
alternativen	alternatives
herrscht	reigns
schaffung	creation
wiedergänger	revenant
faust	fist
vita	vita
anlehnung	affiliation
anlehnung	dependence
holding	holding
schwanz	tail
schwanz	dick
schwanz	cock
fisch	fish
fisch	seafood
thron	throne
rapper	rapper
ozean	oceans
ozean	ocean
konservatorium	conservatory
konservatorium	conservatoire
untergrund	underground
untergrund	substrate
untergrund	subsoil
redundanz	redundancy
nachkriegszeit	postwar
aufsätze	essays
rechner	calculator
rechner	computers
rechner	host
rechner	computer
rechner	hosts
rechner	calculators
bahnhöfe	stations
neuauflage	reissue
brüdern	brethren
brüdern	brothers
patent	patent
webseiten	webpages
webseiten	sites
webseiten	websites
unterfamilie	subfamily
knochen	bones
knochen	bone
posen	poses
wenzel	wenceslas
pionier	pioneer
blütezeit	flowering
blütezeit	bloom
blütezeit	heyday
tests	tests
tests	testing
ausgehen	nightlife
ausgehen	dating
lebenslauf	curriculum
lebenslauf	cv
lebenslauf	biography
lebenslauf	resume
lebenslauf	resume
staffeln	seasons
staffeln	squadrons
alkohol	booze
alkohol	alcohol
alkohol	liquor
trasse	path
rechnen	arithmetic
rechnen	math
bemerkenswert	noteworthy
menschheit	humankind
menschheit	humanity
menschheit	mankind
ehre	honour
ehre	honor
ehre	glory
vorwort	preamble
vorwort	foreword
vorwort	preface
bischofs	bishop
vertretung	representation
vertretung	rep
vertretung	representative
fauna	fauna
fauna	wildlife
abriss	demolition
protokoll	minutes
protokoll	transcript
protokoll	protocol
protokoll	log
protokoll	logs
athleten	athlete
athleten	athletes
teilnehmern	participants
teilnehmern	attendees
steuerung	control
steuerung	controller
steuerung	controlling
steuerung	governance
steuerung	controls
vortrag	lecture
vortrag	speech
vortrag	presentation
vortrag	talk
prinzipien	principles
dienstleistungen	services
lehrbuch	textbook
comedy	comedy
basketballspieler	basketball
standorte	locations
standorte	sites
philologe	philologist
aufteilung	allocation
aufteilung	breakdown
aufteilung	distribution
aufteilung	splitting
erwachsene	adults
erwachsene	adult
philosophen	philosophers
philosophen	philosopher
ehrenmitglied	honorary
ehrenmitglied	member
dicke	thicknesses
dicke	thickness
vielfalt	multiplicity
vielfalt	plurality
vielfalt	diversity
vielfalt	variety
wettbewerbe	competitions
wettbewerbe	contests
heiraten	marriage
heiraten	wedding
archäologe	archaeologist
stellungnahme	opinion
zelle	cell
zelle	cell
wälder	woods
wälder	woodland
wälder	forests
wälder	forest
schließung	closure
maßnahme	action
maßnahme	measure
chief	chief
echo	echo
grundlegende	basic
professoren	professors
geschmack	taste
geschmack	flavor
geschmack	flavour
geschmack	tastes
porto	postage
konzentration	concentration
ansprüche	entitlements
ansprüche	claims
wiedervereinigung	reunification
wiedervereinigung	reunion
kabel	cables
kabel	cable
keramik	pottery
keramik	ceramics
monika	monica
löwe	lion
löwe	leo
pädagogik	pedagogy
melodie	melody
melodie	tune
beratung	advice
beratung	consultancy
bäumen	trees
boeing	boeing
beschäftigung	employment
orientierung	orientation
prinzen	princes
prinzen	prince
mängel	deficiencies
mängel	shortcomings
mängel	weaknesses
mängel	flaws
mängel	defects
portrait	portrait
challenge	challenge
werten	values
fachzeitschrift	journal
untergang	downfall
untergang	demise
untergang	woe
untergang	doom
untergang	ruin
rache	payback
rache	vengeance
rache	revenge
dutzend	dozens
dutzend	dozen
kategorisierung	categorisation
kategorisierung	categorization
vorwürfe	allegations
vorwürfe	accusations
beamter	official
beamter	officer
tiroler	tyrolean
ringer	wrestlers
ringer	wrestler
ringer	wrestler
behauptungen	claims
behauptungen	allegations
behauptungen	assertions
gerecht	fair
materie	matter
soul	soul
naturwissenschaften	science
naturwissenschaften	sciences
positiven	positives
floh	flea
vogt	bailiff
religionen	religions
mitwirkung	involvement
mitwirkung	participation
helm	helm
helm	helmet
ruinen	ruins
zeitalter	ages
zeitalter	era
vision	vision
auswertung	interpretation
auswertung	evaluation
auswertung	analysis
kilogramm	kilograms
kilogramm	kilogram
kilogramm	kilo
messung	measuring
messung	measurement
bassist	bassist
bassist	bass
schwert	blade
schwert	sword
schlagen	slapping
schlagen	beating
phoenix	phoenix
inszenierung	staging
glaubens	faith
gewerkschaft	union
touristen	tourists
touristen	tourist
geschwister	siblings
normen	norms
normen	standards
erkrankungen	illnesses
erkrankungen	diseases
erkrankungen	disorders
agentur	agency
agentur	emea
iwan	ivan
schreiber	scribe
blüte	blossom
blüte	flowering
blüte	flower
blüte	bloom
punk	punk
tabellen	tables
tabellen	spreadsheets
wahlperiode	legislature
einladung	invite
einladung	invitation
stadtverwaltung	municipality
stadtverwaltung	municipality
legislaturperiode	legislature
disziplinen	disciplines
alltag	everyday
türken	turk
türken	turks
gelehrten	scholars
gelehrten	scholar
mine	mine
überleben	survival
école	école
école	ecole
stimmung	vibes
stimmung	mood
stimmung	tuning
anpassung	adaption
anpassung	adjustment
anpassung	adaptation
anpassung	customization
entwickler	developers
entwickler	developer
individuen	individuals
tausende	thousands
anwesenheit	attendance
anwesenheit	presence
liedern	songs
freude	delight
freude	joy
freude	happiness
freude	pleasure
prototyp	prototype
effekte	effects
gletscher	glacier
gletscher	glaciers
offs	offs
bekämpfung	combat
erzähler	narrator
erzähler	storyteller
essay	essay
operationen	operations
operationen	surgeries
gleise	platforms
gleise	tracks
klöster	monasteries
anfänge	beginnings
kaiserin	empress
soundtrack	soundtrack
pkw	cars
pkw	automobiles
pkw	car
größen	sizes
öffnung	aperture
öffnung	openness
öffnung	opening
betreuung	support
betreuung	supervision
betreuung	care
lebensmittel	food
lebensmittel	foods
lebensmittel	groceries
lebensmittel	grocery
lebensmittel	foodstuffs
objektiv	lens
objektiv	objective
personenverkehr	traffic
geometrie	geometry
zerstörer	destroyers
zerstörer	destroyer
wohnsitz	residence
wohnsitz	domicile
wohnsitz	residence
alpha	alpha
illustrationen	illustrations
richtungen	directions
schnee	snow
realschule	realschule
vorgeschichte	prehistory
vorgeschichte	background
hartmut	hartmut
troll	troll
troll	troll
mythos	myth
stausee	dam
stausee	lake
stausee	reservoir
tenor	tenor
befehlshaber	commandant
befehlshaber	commanders
befehlshaber	commander
hochladen	upload
ansätze	approaches
designer	designers
designer	designer
verstand	sanity
verstand	mind
türen	gates
türen	doors
begegnungen	encounters
überwachung	oversight
überwachung	monitoring
überwachung	monitor
überwachung	supervision
überwachung	surveillance
gerechtigkeit	justice
gerechtigkeit	righteousness
gerechtigkeit	fairness
gerechtigkeit	equity
bett	bunk
bett	bed
staatssekretär	undersecretary
verlangen	desire
dynamo	dynamo
experiment	experiment
astronom	astronomer
rechtswissenschaft	law
rechtswissenschaft	jurisprudence
umwandlung	conversion
umwandlung	converting
umwandlung	transformation
umwandlung	transform
chaos	mess
chaos	mayhem
ansiedlung	settlement
zoo	zoo
käfer	beetles
käfer	bugs
käfer	bug
käfer	beetle
weihnachten	christmas
weihnachten	xmas
fachbereich	department
fachbereich	faculty
beobachtungen	observations
beobachtungen	sightings
laien	layman
dekan	dean
häftlinge	convicts
häftlinge	prisoners
häftlinge	inmates
häftlinge	detainees
russen	russian
russen	russians
allee	allee
allee	avenue
allee	alley
basilika	basilica
zyklus	cycle
konzepte	conceptions
konzepte	concepts
heiliger	saint
tendenz	trend
tendenz	propensity
tendenz	tendency
anstieg	rise
anstieg	surge
österreicher	austrians
aktiengesellschaft	aktiengesellschaft
einheitliche	uniform
urheberrecht	copyrights
urheberrecht	copyright
landschaften	scenery
landschaften	countryside
landschaften	landscapes
landschaften	landscape
anstellung	recruitment
festland	mainland
fotografen	photographers
fotografen	photographer
mund	mouth
inkl	incl
reformen	reforms
sklaven	slave
sklaven	slaves
weinbau	wine
griechen	greeks
griechen	greek
individuelle	individual
scheitern	failure
spitzen	lace
spitzen	peaks
gattin	missus
marktplatz	marketplace
erwerben	acquire
indonesien	indonesia
reagieren	respond
bedingung	condition
bedingung	constraint
tagebuch	journal
tagebuch	diary
ethik	ethics
entdecken	discovery
frequenz	frequency
verlinkung	hyperlink
verlinkung	link
verlinkung	linking
marshall	marshal
wortes	word
handwerk	craftsmanship
handwerk	handicrafts
handwerk	craft
handwerk	handicraft
handwerk	crafts
contest	contest
reichlich	plenty
gefallenen	fallen
kaffee	coffee
kaffee	coffee
gedenkstätte	memorial
agent	agent
fokus	focus
verbesserungen	improvements
verbesserungen	enhancements
modellen	models
turnieren	tournaments
gedenken	remembrance
gedenken	commemoration
anleitung	guidance
anleitung	instruction
anleitung	manual
anleitung	tutorial
anleitung	instructions
staatsbürgerschaft	nationality
staatsbürgerschaft	citizenship
zwang	compulsion
zwang	coercion
zwang	duress
zwang	constraint
unterart	subtype
unterart	subspecies
komplexe	complexes
komplexe	complexes
verbündeten	allies
verbündeten	ally
monats	month
monats	months
truppe	troop
truppe	troupe
türme	towers
hut	hat
verbleib	whereabouts
verbleib	fate
milch	dairy
milch	milk
bestände	inventories
bestände	stocks
bestände	herds
beeinflussen	influence
bug	bug
bug	bow
meilen	miles
meilen	mileage
taten	deeds
landesstraße	landesstraße
farm	farm
oberstleutnant	colonel
freizeit	recreation
freizeit	leisure
motorrad	bike
motorrad	motorcycle
motorrad	motorbike
peer	peer
wellen	shafts
wellen	ripples
wellen	waves
maßstab	yardstick
maßstab	scale
maßstab	benchmark
sopran	soprano
schoss	lap
fachliteratur	literature
klassiker	classics
klassiker	classic
partnerschaft	partnering
partnerschaft	partnership
brot	loaf
brot	bread
lehren	lessons
lehren	teaching
lehren	teachings
ostseite	east
höfe	farms
höfe	courtyards
höfe	courts
mönche	monks
glatt	plain
glatt	smooth
beauftragte	envoy
beauftragte	delegate
aussicht	prospect
aussicht	outlook
aussicht	views
aussicht	view
erwerb	acquisitions
erwerb	purchase
erwerb	acquisition
passage	passage
run	run
saudi	saudi
anime	anime
bewusstsein	conscience
bewusstsein	awareness
bewusstsein	consciousness
berufliche	vocational
erlauben	permit
porträts	portraits
porträts	portrait
motors	motor
remix	remix
trikot	jersey
masters	masters
opern	operas
angebote	specials
angebote	promotions
angebote	offers
angebote	deals
kriegen	wars
reifen	tires
reifen	tyres
reifen	tire
reifen	tyre
wolfram	tungsten
komitee	committee
komitee	comité
hirsch	stag
hirsch	deer
umstand	circumstance
unterarten	subtypes
unterarten	subspecies
ermittlungen	investigations
ermittlungen	investigation
speicher	storage
speicher	memory
krieger	warriors
krieger	warrior
umstände	circumstances
ehepaar	couple
delta	delta
stichwort	cue
matthäus	matthew
aluminium	aluminium
aluminium	aluminum
dimension	dimension
schönheit	beauty
sauerstoff	oxygen
rasse	breed
rasse	race
inschriften	inscriptions
zähne	teeth
statthalter	governor
sri	sri
satelliten	satellites
satelliten	satellite
symbole	symbols
symbole	icons
medaillen	medals
abbruch	abortion
abbruch	abort
abbruch	demolition
spannungen	stresses
spannungen	tension
spannungen	voltages
spannungen	tensions
resultat	result
verarbeitung	processing
verarbeitung	workmanship
bundesautobahn	bundesautobahn
frühling	spring
frühling	springtime
gräber	tombs
gräber	graves
renovierung	refurbishment
renovierung	renovation
collins	collin
wäldern	woods
wäldern	forests
analysis	calculus
gleichung	equation
sockel	pedestal
sockel	cap
sockel	socket
sockel	sockets
traditionen	traditions
hunde	dogs
krebs	cancer
verfolgen	tracking
virus	virus
unit	unit
fett	grease
fett	fat
anzeigen	classifieds
anzeigen	ads
anzeigen	show
blättern	leaves
wiederholen	repeat
wiederholen	replay
astronomie	astronomy
stadtzentrum	downtown
stadtzentrum	centre
decke	blanket
decke	ceiling
decke	roof
schritte	footsteps
schritte	steps
schritte	strides
linden	linden
jubiläum	jubilee
jubiläum	anniversary
schnabel	beak
française	française
klärung	clarifying
klärung	clarification
zehnten	tenth
vorgaben	presets
vorgaben	defaults
beobachter	observers
beobachter	watchers
beobachter	monitors
beobachter	observer
bilanz	balance
produkten	products
alias	alias
bestätigung	confirmation
bestätigung	acknowledgement
bestätigung	confirm
bestätigung	validation
mühlen	windmills
mühlen	mills
mühlen	grinders
mühlen	crushers
libretto	libretto
wiederherstellen	restoring
massaker	massacre
massaker	massacres
suffix	suffix
rennfahrer	racers
rennfahrer	racer
aufschwung	upturn
aufschwung	upswing
aufschwung	revival
matrix	array
matrix	matrix
ähnlichkeit	likeness
ähnlichkeit	resemblance
ähnlichkeit	similarity
empfehlung	suggestion
empfehlung	recommendation
bedrohung	menace
bedrohung	threat
einweihung	dedication
einweihung	inauguration
einweihung	consecration
landkreise	districts
landkreise	counties
landung	touchdown
landung	landing
offensive	offensive
pole	pole
bindung	binding
bindung	bonding
bindung	bond
entwürfe	sketches
entwürfe	designs
entwürfe	drafts
entwürfe	blueprints
abkürzungen	shortcuts
abkürzungen	abbreviations
abkürzungen	acronyms
protest	protest
kugel	sphere
kugel	globe
kugel	ball
kugel	orb
kugel	bullet
delegation	delegation
färbung	staining
färbung	coloration
ausstrahlung	broadcast
ausstrahlung	charisma
ausstrahlung	broadcasting
