aboard	ombord
vital	vital
vital	livsvigtig
extraordinary	ekstraordinært
extraordinary	ekstraordinær
wireless	trådløst
wireless	trådløse
wireless	trådløs
mysterious	mystisk
mysterious	gådefulde
mysterious	mystiske
amazing	fantastisk
amazing	fantastiske
amazing	utroligt
consistently	konsistent
consistently	konsekvent
logical	logisk
logical	logiske
aggressive	aggressive
aggressive	aggressivt
aggressive	aggressiv
interim	foreløbigt
interim	mellemliggende
lucky	heldig
lucky	heldige
lucky	lucky
lucky	heldigt
careful	forsigtig
predominantly	hovedsageligt
predominantly	overvejende
loose	løse
loose	løs
loose	løst
separately	separat
separately	særskilt
intelligent	intelligente
intelligent	intelligent
busy	travlt
busy	optaget
busy	travl
distant	fjernt
unfree	ufrit
sick	syge
sick	syg
sick	sygt
innocent	uskyldig
innocent	uskyldige
innocent	uskyldigt
indo	indo
thermal	termisk
thermal	termiske
nationally	nationalt
healthy	raske
healthy	sunde
healthy	sund
healthy	sundt
estonian	estiske
estonian	estisk
lasting	varig
lasting	varige
honest	ærligt
honest	ærlige
honest	ærlig
innovative	innovativ
innovative	nyskabende
innovative	fornyende
innovative	innovativt
innovative	innovative
obscure	obskure
barely	knap
unused	ubrugt
unused	uudnyttet
unused	uudnyttede
unused	ubrugte
infinite	uendelig
infinite	uendeligt
infinite	uendelige
considerably	betragteligt
considerably	betydeligt
excessive	overdrevet
excessive	overdreven
likewise	ligeledes
hopefully	forhåbentligt
hopefully	forhåbentlig
pregnant	gravide
pregnant	drægtige
pregnant	gravid
unofficial	uofficielt
unofficial	uofficielle
unofficial	uofficiel
tight	stram
tight	stramme
tight	stramt
routine	rutinemæssig
dozens	dusinvis
dozens	snesevis
naked	nøgen
naked	nøgne
legally	lovligt
legally	juridisk
fake	falsk
fake	falske
fake	fake
biased	partisk
sad	ked
sad	sørgeligt
sad	trist
uncertain	usikre
uncertain	usikkert
uncertain	usikker
uncertain	uvist
dear	kære
sovereign	suveræne
sovereign	suveræn
sovereign	suverænt
politically	politisk
dirty	beskidt
dirty	frækt
dirty	dirty
dirty	snavset
dirty	beskidte
adequate	passende
adequate	fyldestgørende
adequate	tilstrækkelige
adequate	tilstrækkelig
inland	indlands
inland	indenlandsk
tough	hårdt
tough	hårde
tough	barsk
tough	sej
tough	hård
mandatory	obligatorisk
mandatory	obligatoriske
seemingly	tilsyneladende
exterior	udvendig
exterior	udvendigt
forwards	fremad
remarkable	bemærkelsesværdige
remarkable	bemærkelsesværdigt
remarkable	bemærkelsesværdig
precise	præcist
precise	præcise
cognitive	kognitiv
cognitive	kognitive
vulnerable	sårbart
vulnerable	sårbare
vulnerable	udsatte
vulnerable	sårbar
productive	produktivt
productive	produktive
productive	produktiv
accordingly	følgelig
prohibited	forbudte
supposedly	angiveligt
supposedly	påstås
supposedly	antageligt
vague	vage
vague	vag
vague	upræcist
secular	verdslige
armoured	armeret
armoured	pansrede
armoured	pansret
useless	uduelig
useless	nytteløs
useless	ubrugeligt
useless	ubrugelige
useless	ubrugelig
silly	fjollede
silly	dumt
silly	fjollet
baltic	baltiske
evangelical	evangeliske
mature	moden
mature	modent
physically	fysisk
prussian	preussiske
insufficient	utilstrækkelige
insufficient	utilstrækkeligt
insufficient	utilstrækkelig
excess	overskydende
teenage	teenage
reasonably	rimeligt
quarterly	kvartalsvis
explicit	udtrykkelige
explicit	udtrykkelig
explicit	eksplicit
explicit	eksplicitte
explicit	udtrykkeligt
oriental	orientalske
acclaimed	hyldet
acclaimed	roste
