харолд	harold
мелбърн	melbourne
вердер	werder
разлог	razlog
океания	oceania
надя	nadja
надя	nadya
надя	nadia
нестор	nestor
залцбург	salzburg
мак	mac
мак	mack
киро	kiro
лауда	lauda
паркър	parker
тувалу	tuvalu
алис	alice
куинсланд	queensland
каварна	kavarna
бирмингам	birmingham
кралици	queens
ралф	ralph
антоан	antoine
антиохия	antioch
аякс	ajax
уолис	wallis
батак	batak
джефри	geoffrey
джефри	jeffrey
крус	cruz
тива	thebes
кристоф	kristoff
кристоф	christophe
кристоф	christoph
гьоте	goethe
джесика	jessica
толстой	tolstoy
ибрахим	ibrahim
жозеф	joseph
науру	nauru
антоанета	antoinette
цецилий	caecilius
нахия	nahiyah
сюзън	susan
сеул	seoul
панония	pannonia
панчо	pancho
тор	thor
агиос	agios
хайделберг	heidelberg
папи	papi
папи	pappy
дъблин	dublin
зигфрид	siegfried
юлих	jülich
търнър	turner
матиас	mathias
матиас	mattias
матиас	matias
матиас	matthias
свазиленд	swaziland
йован	jovan
дион	deion
дион	dion
дион	dionne
армстронг	armstrong
манхатън	manhattan
томпсън	thompson
прадеш	pradesh
мелник	melnick
иларион	ilarion
кобург	coburg
багдад	baghdad
арканзас	arkansas
хюсеин	hussein
хюсеин	hussain
хюсеин	hüseyin
батман	batman
първанов	parvanov
рейчъл	rachel
роуз	rose
колинс	collins
дарвин	darwin
братислава	bratislava
нели	nelly
нели	nellie
септимий	septimius
милена	milena
янкович	jankovic
томов	tomov
айнщайн	einstein
лора	laura
лора	lora
младен	mladen
зигмунд	sigmund
евдокия	eudokia
лихтенщайн	liechtenstein
лихтенщайн	lichtenstein
беатрис	beatrice
беатрис	beatriz
суматра	sumatra
лентул	lentulus
кадафи	gaddafi
харисън	harrison
елзас	alsace
хрушчов	khrushchev
сервилий	servilius
деян	dejan
лидия	lidia
лидия	lydia
антонин	antonin
пелопонес	peloponnese
раул	raoul
раул	raul
емили	emilie
емили	emily
таун	towne
соломон	solomon
теодорих	theuderic
джеси	jessie
джеси	jesse
велбъжд	velbazhd
глазгоу	glasgow
кейн	cain
кейн	kane
кейн	cane
кейн	caine
моравия	moravia
страбон	strabo
лена	lena
хендрикс	hendricks
хендрикс	hendrix
пиеро	pierrot
пиеро	piero
петра	petra
желев	zhelev
тбилиси	tbilisi
алпите	alps
померания	pomerania
кожани	kozani
фитипалди	fittipaldi
арктика	arctic
