modernas	modern
campeona	champion
colaboradores	partners
colaboradores	collaborators
colaboradores	contributors
baterista	drummer
caras	faces
supercopa	supercup
supercopa	supercopa
lesiones	lesions
lesiones	injury
lesiones	injuries
disminución	decline
disminución	decrease
aceptación	acceptance
parra	parra
facilidad	ease
libras	lbs
libras	pounds
terrestres	terrestrial
soviéticos	soviets
pérdidas	loss
pérdidas	losses
fantasía	fantasy
fantasía	fantasia
fenómenos	phenomena
fenómenos	freaks
africano	african
otomano	ottoman
finanzas	finance
finanzas	financials
finanzas	finances
sinfónica	symphonic
sinfónica	symphony
suborden	suborder
boxeo	boxing
comparte	share
comparte	shares
árbitro	referee
árbitro	umpire
árbitro	arbitrator
árbitro	ref
antropología	anthropology
bizantino	byzantine
fiel	faithful
derivado	derivative
rodaje	shooting
escalera	stairway
escalera	staircase
escalera	stair
escalera	ladder
escalera	stairs
reglamento	regulations
reglamento	rules
reglamento	regulation
gigantes	giants
gigantes	giant
experimentos	experiments
experimentos	experimentation
paisajes	scenery
paisajes	landscapes
paisajes	landscape
mito	myth
grabados	engravings
grabados	prints
efectivo	cash
sra	mrs
cuota	fee
cuota	quota
obreros	workers
obreros	workmen
primarias	primaries
interpretaciones	interpretations
hembra	female
procedimientos	proceedings
procedimientos	procedures
luchador	fighter
luchador	wrestler
ligera	light
facultades	faculties
recuerdos	memories
recuerdos	souvenirs
recuerdos	memory
falla	failure
falla	flaw
llano	plain
romper	break
huerta	orchard
seguimiento	tracking
seguimiento	monitoring
cerveza	beer
proyección	projection
proyección	screening
compuestas	composite
compuestas	compound
maneras	ways
infierno	hell
infierno	inferno
gastos	expenditures
gastos	expenditure
gastos	expense
gastos	expenses
africana	african
depósito	deposit
jornadas	days
lobos	wolf
lobos	wolves
especialista	specialist
octava	eighth
octava	octave
pendiente	slope
pendiente	earring
realista	realist
págs	pp
recordar	recall
paraíso	paradise
autora	author
testimonio	witness
testimonio	testimonial
testimonio	testimony
malta	malt
aerolíneas	airlines
aerolíneas	airline
balonmano	handball
bloques	blocks
polvo	dust
polvo	powder
balón	ball
fija	fixes
alegría	joy
declaraciones	declarations
declaraciones	statements
cronología	chronology
cronología	timeline
ilustraciones	illustrations
ron	rum
semi	semi
masacre	massacre
masacre	slaughter
vinos	wine
vinos	wines
nominada	nominee
denuncia	report
denuncia	complaint
denuncia	denunciation
frutas	fruit
frutas	fruits
periodos	periods
duquesa	duchess
delito	felony
delito	crime
delito	offence
preocupación	concerns
preocupación	concern
metales	metal
metales	metals
golf	golf
creencias	beliefs
creencias	belief
reputación	reputation
party	party
participante	participant
conexiones	connections
cumplimiento	compliance
cumplimiento	fulfillment
htm	htm
ilustración	enlightenment
ilustración	illustration
potosí	potosi
constituyente	constituent
llanura	plain
llanura	plains
levantamiento	uprising
levantamiento	lifting
desea	wish
desea	wishes
secuela	sequel
tributo	tribute
placas	plates
placas	badges
placas	plate
culpa	blame
culpa	guilt
concejales	councillors
secreta	secret
comerciantes	traders
comerciantes	merchants
comerciantes	dealers
meseta	mesa
meseta	plateau
proporción	ratio
proporción	proportion
asociada	associate
interfaz	interface
correa	leash
correa	strap
colaborar	collaboration
arquidiócesis	archdiocese
secretaria	secretary
circuitos	circuits
circuitos	circuit
magallanes	magellan
auxiliar	assistant
auxiliar	auxiliary
minería	mining
corteza	bark
corteza	crust
corteza	cortex
verso	verse
auge	boom
encargo	order
sensación	feeling
sensación	sensation
afluentes	tributaries
suave	smooth
constantes	constant
constantes	constants
viaja	travels
suizo	swiss
sencilla	simple
censura	censors
censura	censorship
rebelde	rebel
marítima	maritime
narrativa	storytelling
narrativa	narrative
gerente	manager
encuesta	survey
encuesta	poll
libertador	liberator
libertador	deliverer
generalidad	generalitat
generalidad	generality
virreinato	viceroyalty
medir	measure
dieta	diet
discusiones	discussions
discusiones	discussion
discusiones	arguments
panorama	panorama
realistas	realist
nativa	native
duelo	duel
acústica	acoustics
innovación	innovation
hueso	bone
rincón	corner
ordenador	computer
baño	toilet
baño	bathroom
baño	bath
seguros	insurance
seguros	insurances
correr	jogging
telecomunicaciones	telecom
telecomunicaciones	telecommunications
telecomunicaciones	telecoms
telecomunicaciones	telecommunication
iris	iris
cantando	singing
examen	review
examen	examination
examen	exam
depósitos	warehouses
depósitos	reservoirs
depósitos	deposits
depósitos	deposit
invitada	guest
rap	rap
turistas	tourists
turistas	tourist
darío	darius
autobús	bus
anuncia	announces
confusión	confusion
tendencias	trend
tendencias	trends
secretos	secrets
secretos	secret
probabilidad	likelihood
probabilidad	probability
exhibición	exhibit
exhibición	exhibition
convenio	covenant
convenio	convention
entretenimiento	entertainment
direcciones	directions
direcciones	addresses
direcciones	address
delitos	offenses
delitos	crimes
delitos	offences
atletas	athletes
semifinal	semifinals
espectro	specter
espectro	wraith
espectro	spectra
espectro	spectrum
espectro	spectre
conducción	conduction
gobernantes	rulers
capacidades	abilities
capacidades	capacities
capacidades	capabilities
concursos	competitions
concursos	contests
cia	cla
dosis	doses
dosis	dosage
dosis	dose
cubrir	cover
antártida	antarctica
citas	quotations
citas	quotes
citas	appointments
libreto	libretto
filadelfia	philadelphia
falso	fake
jesuitas	jesuits
jesuitas	jesuit
humedad	moisture
humedad	humidity
atracción	attraction
formaciones	formations
testigo	witness
afluente	tributary
kilómetro	mile
kilómetro	kilometre
kilómetro	kilometer
reptiles	reptile
reptiles	reptiles
logo	logo
sustancia	substance
turística	tourist
holandés	dutchman
estocolmo	stockholm
mercurio	mercury
moléculas	molecules
regulación	regulation
sargento	sarge
sargento	sergeant
alturas	heights
creencia	belief
aterrizaje	landing
ventajas	benefits
ventajas	perks
ventajas	advantages
martes	tuesday
martes	tuesdays
arsenal	armory
arsenal	armoury
sociología	sociology
constantinopla	constantinople
extrema	extreme
consola	console
sentimiento	feeling
sentimiento	sentiment
cargas	burdens
cargas	charges
cargas	uploads
cargas	loads
trato	bargain
trato	deal
reality	reality
castillos	castles
fuga	fugue
fuga	escape
fuga	jailbreak
dorada	gold
abuela	grandmother
abuela	granny
abuela	grandma
afueras	environs
afueras	outskirts
experto	expert
frontal	front
huevo	eggs
huevo	egg
tragedia	tragedy
lagunas	gaps
lagunas	lagoons
contaminación	contamination
contaminación	pollution
azteca	aztec
patrones	patterns
patrones	stencils
patrones	patrons
patrones	pattern
patrones	employers
transmisiones	transmissions
transmisiones	broadcasts
aliado	ally
ama	mistress
mediodía	noon
mediodía	midday
traducciones	translation
traducciones	translations
pulgadas	inch
pulgadas	inches
ladrillo	brick
compartir	share
niñas	girls
dependencia	dependency
dependencia	dependence
probar	test
mónica	monica
arroyos	streams
arroyos	creeks
arroyos	brooks
volante	flyer
sabio	sage
beca	scholarship
cráneo	cranium
cráneo	skull
velocidades	velocities
velocidades	speeds
gobernante	ruler
caridad	charities
caridad	charity
llave	wrench
llave	key
manuscritos	manuscripts
manuscritos	manuscript
demonio	daemon
demonio	devil
demonio	demon
nazis	nazi
nazis	nazis
materias	materials
materias	subjects
estándares	standards
básicas	basic
gases	gas
festividad	festivity
ferroviario	railway
boletín	newsletter
boletín	bulletin
potencias	powers
ejemplar	copy
portugueses	portuguese
estelar	star
montaje	installation
montaje	assembly
montaje	editing
considerando	recital
enviados	messengers
enviados	envoys
fotógrafo	photographer
porción	portion
combatientes	combatants
combatientes	fighters
oponente	opponent
pura	sheer
forestal	forestry
forestal	forest
viola	viola
parodia	spoof
parodia	parody
evangelio	gospel
honda	slingshot
loira	loire
esfera	sphere
esfera	orb
muertes	fatalities
muertes	deaths
román	roman
vaya	wow
litros	gallon
litros	litres
litros	liter
litros	liters
penales	criminal
penales	penal
consulado	consulates
consulado	consulate
ingresar	login
autorización	permission
autorización	authorisation
autorización	authorization
discografía	discography
esquí	ski
esquí	skiing
prisionero	prisoner
disparo	gunshot
disparo	shooting
disparo	shot
teorema	theorem
golpes	strokes
golpes	blows
golpes	punches
dinosaurios	dinosaurs
dinosaurios	dinosaur
brevemente	briefly
extranjera	foreigner
caña	reed
caña	pole
caña	cane
caña	rod
ética	ethics
correspondencia	correspondence
correspondencia	mail
monjes	monks
formatos	formats
bombardeo	bombardment
bombardeo	bombing
respuestas	responses
respuestas	answers
respuestas	replies
cambiando	switching
dramaturgo	playwright
dramaturgo	dramatist
seudónimo	pseudonym
col	cabbage
líbano	lebanese
líbano	lebanon
cena	dinner
cena	supper
pescado	fish
republicanos	republican
republicanos	republicans
lujo	luxury
electrones	electron
electrones	electrons
avances	advances
avances	breakthroughs
avances	advancements
avances	previews
avances	progress
vacaciones	vacations
vacaciones	holiday
vacaciones	vacation
vacaciones	holidays
aerolínea	airline
murallas	wall
murallas	walls
murallas	ramparts
descendiente	descendant
eta	eta
cóndor	condor
manifestación	manifestation
manifestación	demonstration
robles	oaks
bienestar	wellness
bienestar	welfare
mansión	mansion
mansión	manor
suplente	alternate
suplente	understudy
suplente	substitute
asesinatos	killings
asesinatos	assassinations
asesinatos	assassination
asesinatos	murder
asesinatos	murders
fieles	faithful
concha	shell
implementación	implementation
perdida	loss
ciudadanía	citizenship
desastre	disaster
calificación	rating
calificación	qualification
dramática	drama
plástico	plastics
plástico	plastic
armadura	armor
armadura	armour
espaciales	space
bebé	baby
reconocimientos	examinations
reconocimientos	reconnaissance
reconocimientos	recognition
tallos	stalks
casino	casino
vencedor	winner
vencedor	victor
delegado	delegate
colinas	hills
membrana	membranes
membrana	membrane
etnia	ethnicity
ruido	noise
teatros	theatres
teatros	theaters
teatros	theater
fabricantes	manufacturer
fabricantes	manufacturers
finca	farm
finca	estate
pilares	pillars
guarnición	garnish
guarnición	garrison
fábricas	factories
fábricas	mills
fábricas	factory
oliva	olive
conservadores	tories
conservadores	conservatives
escape	exhaust
cap	chap
baños	toilets
baños	bathrooms
baños	restrooms
baños	baths
baños	bath
alternativas	alternatives
logro	accomplishment
logro	achievement
extracción	extraction
nacionalismo	nationalism
adulto	adult
disciplinas	disciplines
responder	respond
responder	answer
electrónicos	electronics
galaxia	galaxy
cubiertas	covers
cubiertas	decks
dependencias	dependencies
bola	ball
certificado	certificate
vigor	vigor
vigor	vigour
escándalo	scandal
escándalo	scandals
tanque	tank
serpiente	snake
serpiente	serpent
testigos	witnesses
testigos	eyewitnesses
testigos	witness
economista	economist
submarino	submarine
submarino	sub
códigos	code
códigos	codes
prevención	prevention
solares	plots
estudia	study
paloma	pigeon
folk	folk
ira	wrath
ira	anger
atractivo	attractiveness
atractivo	attraction
atractivo	appeal
etiopía	ethiopian
asientos	seats
dominios	domains
dominios	domain
falsa	fake
tribunales	tribunals
tribunales	court
tribunales	courts
cerdo	pork
cerdo	swine
cerdo	pig
dorsal	dorsal
danés	dane
cajas	boxes
ring	ring
fiebre	fever
geometría	geometry
hoteles	hotel
hoteles	hotels
derrotas	defeat
macizo	massif
sacramento	sacrament
documentales	documentary
documentales	documentaries
canciller	chancellor
aldeas	villages
desafío	challenge
desafío	defiance
ánimo	mood
acusaciones	charges
acusaciones	indictments
acusaciones	allegations
acusaciones	accusations
oso	bear
cruzada	crusade
excentricidad	eccentricity
levante	levant
aproximación	approximation
aproximación	approach
mirada	glance
marquesado	marquisate
poblados	villages
plumas	pens
plumas	feathers
consideración	consideration
molino	windmill
molino	mill
tronco	log
tronco	trunk
cuarteto	quartet
nativo	native
marquesa	marquise
anatomía	anatomy
monstruo	monster
escribiendo	typing
dedos	toes
dedos	fingers
pasaje	ticket
pasaje	passage
futbol	soccer
futbol	football
bacterias	bacteria
ortodoxa	orthodox
arácnidos	arachnids
apóstol	apostle
escocés	scotsman
escocés	scots
escocés	scotch
sismo	earthquake
sismo	quake
luchas	fights
luchas	struggles
trasera	rear
radios	radio
coordinador	coordinator
miércoles	wednesday
miércoles	wednesdays
terrorismo	terror
terrorismo	terrorism
terrorismo	terrorist
precipitaciones	rainfall
precipitaciones	precipitation
capturar	capture
adquiere	acquire
dame	gimme
defecto	default
defecto	flaw
defecto	defect
sud	lds
viajeros	travelers
viajeros	travellers
sobrevivir	survival
experimento	experiment
románico	romanesque
adolescentes	teen
adolescentes	teenagers
adolescentes	teens
adolescentes	adolescents
habituales	regulars
lienzo	canvas
solidaridad	solidarity
aporte	input
aporte	contribution
certificados	certificates
castigo	punishment
complejidad	complexity
renacentista	renaissance
nordeste	northeast
gallo	cock
gallo	rooster
parlamentarias	mps
parlamentarias	parliamentarians
salomón	salomon
salomón	solomon
exportación	exports
exportación	export
hambre	famine
hambre	hunger
residuos	waste
residuos	residues
residuos	wastes
socialismo	socialism
directorio	directory
leones	lions
prohibición	ban
prohibición	prohibition
autovía	highway
alusión	allusion
leonor	eleanor
escudos	shields
terapia	therapy
fallo	failure
barro	mud
barro	clay
banca	bench
banca	banking
banca	banker
banca	bank
luchadores	wrestlers
luchadores	fighters
edificación	building
riesgos	hazards
riesgos	risks
riesgos	risk
apellidos	surnames
apellidos	surname
presentadora	presenter
comisario	commissioner
comisario	sheriff
comisario	commissar
comisario	inspector
comisario	marshal
decenas	tens
decenas	dozens
campana	bell
pib	gdp
tía	auntie
tía	aunty
tía	aunt
rivalidad	rivalry
embajadores	ambassadors
hospitales	hospital
hospitales	hospitals
astronomía	astronomy
terroristas	terrorist
terroristas	terrorists
visuales	visuals
establecimientos	establishments
recopilación	compilation
comisiones	commissions
comisiones	committees
detención	arrest
detención	detention
algoritmo	algorithm
inversiones	investments
inversiones	investment
criaturas	critters
criaturas	creatures
mercancías	goods
mercancías	commodities
mercancías	freight
mercancías	merchandise
construye	builds
construye	constructs
marinas	marine
tela	cloth
tela	fabric
ataca	attacks
ataca	attack
refugiados	refugee
refugiados	refugees
cantera	quarry
mancomunidad	commonwealth
descubridor	discoverer
énfasis	emphasis
revisar	review
circo	circus
robo	theft
robo	robbery
robo	burglary
vecina	neighbour
vecina	neighbor
contactos	contact
contactos	contacts
exploradores	scouts
exploradores	explorers
pampa	pampas
flauta	flute
hormigón	concrete
autoría	authorship
odio	hatred
odio	hate
nocturno	night
celta	celts
consultas	consultations
consultas	enquiries
consultas	consultation
consultas	queries
consultas	inquiries
comprobar	check
prosa	prose
radicales	radicals
radicales	radical
condena	condemnation
discípulo	disciple
juzgado	courthouse
juzgado	court
religiones	religions
religiones	religion
lealtad	loyalty
compañera	roommate
compañera	companion
disparos	shootings
disparos	gunshots
disparos	shots
disparos	shooting
disparos	gunfire
cayo	gaius
cayo	cay
máscara	mask
activista	activist
novelista	novelist
avanzar	advance
puro	sheer
puro	cigar
tomas	shots
comprensión	comprehension
medicinales	medicinal
expediciones	expeditions
compleja	complex
trilogía	trilogy
concejal	councilor
concejal	alderman
concejal	councilman
concejal	councillor
concejal	councilwoman
calzada	roadway
calzada	carriageway
calzada	causeway
tumbas	tombs
tumbas	graves
riego	irrigation
piernas	legs
dramático	drama
músculo	muscles
músculo	muscle
atleta	athlete
bonus	bonus
croata	croat
perdón	pardon
paquete	parcel
paquete	package
paquete	bundle
paquete	pack
busto	bust
desconocida	unknown
especialistas	specialists
especialistas	specialist
opuesto	opposite
mono	monkey
trastornos	disorders
rehabilitación	rehab
rehabilitación	rehabilitation
revelación	revelation
revelación	disclosure
aluminio	aluminium
aluminio	aluminum
satélites	satellites
satélites	satellite
infección	infections
infección	infection
largometraje	feature
mezquita	mosque
contratos	contracts
guardias	guards
regente	regent
terrorista	terrorist
terrorista	terrorists
superficial	surface
abundancia	abundance
abundancia	plenty
procesamiento	processing
marfil	ivory
redactor	editor
gaspar	caspar
conspiración	conspiracy
pág	p
excelencia	excellency
excelencia	excellence
funcionario	official
explorador	scout
explorador	explorer
explorador	browser
cumpleaños	birthdays
cumpleaños	birthday
uruguaya	uruguayan
taxonomía	taxonomy
mixto	coed
interino	interim
melodía	melody
melodía	tune
estimación	estimate
estimación	estimation
area	area
comunicado	communiqué
comunicado	statement
dieciséis	sixteen
detenidos	detainees
esencia	essence
conversaciones	conversations
conversaciones	talks
percepción	perception
percepción	perceptions
subespecies	subspecies
descripciones	descriptions
fundar	founding
bachillerato	baccalaureate
cuadrada	square
excavaciones	excavation
excavaciones	excavations
excavaciones	digs
pila	battery
pila	pile
caos	mayhem
caos	chaos
módulo	module
turcos	turks
turcos	turkish
sedes	headquarters
sedes	venues
garganta	throat
garganta	gorge
eficiencia	efficiency
rítmica	rhythm
dulces	candies
dulces	sweets
dulces	candy
permanencia	permanence
euskera	basque
historietas	comics
grueso	bulk
exceso	excess
triángulo	triangle
clero	clergy
cama	bedding
cama	bed
comenta	comment
comenta	comments
piedad	pity
piedad	mercy
piedad	piety
realismo	realism
espinosa	spiny
espinosa	thorny
subespecie	subspecies
conversación	conversation
pionero	pioneer
emisoras	broadcasters
emisoras	stations
espinas	thorns
espinas	spines
cretácico	cretaceous
habitaciones	bedrooms
habitaciones	rooms
arbustos	bushes
arbustos	shrubs
arbustos	shrub
aeropuertos	airport
aeropuertos	airports
urbanización	urbanisation
urbanización	urbanization
adjunto	deputy
adjunto	adjunct
adjunto	attachment
supervivencia	survival
cómics	comics
pistola	pistol
pistola	gun
ascensión	ascension
ascensión	ascent
constancia	constancy
constancia	constance
constancia	perseverance
migración	migratory
migración	migration
migración	migrations
editora	editor
noventa	nineties
ola	wave
celebrar	celebrate
reemplazo	replace
capas	layered
permitido	permitted
permitido	allowed
convocado	convened
convocado	summoned
participando	participating
elevación	uplift
integra	integrates
rotación	rotating
curva	curved
curva	bend
centra	focuses
tejidos	woven
existían	existed
expulsado	expelled
expulsado	ejected
iguales	equals
concluyó	concluded
reconocidos	acknowledged
reconocidos	recognised
reconocidos	recognized
proporcionar	provide
proporcionar	providing
reveló	revealed
reveló	unveiled
sostiene	sustains
sostiene	holds
declarada	declared
visitó	visited
vestido	dressed
especializada	specialised
especializada	specialized
ampliar	enlarge
ampliar	zoom
ampliar	expand
presentada	presented
presentada	submitted
mostrando	showing
mostrando	displaying
franquicia	franchising
adquirir	acquiring
organiza	organize
organiza	arranges
organiza	organizes
rechazo	reject
eligió	chose
describir	describe
describir	describing
previsto	planned
actualizado	updated
mencionada	mentioned
sabía	knew
grabada	engraved
celebrada	held
celebrada	celebrated
desapareció	vanished
desapareció	disappeared
apoyó	supported
aceptación	accepting
modificar	modify
modificar	modifying
modificar	amend
cedido	ceded
cedido	loaned
definido	defined
contribuyó	contributed
adquirido	acquired
adquirido	purchased
conecta	connect
conecta	connects
ocupada	occupied
protegida	protected
derivado	derived
rodaje	filming
grabados	engraving
grabados	recorded
diseñada	designed
añadió	added
dominante	dominating
tocando	touching
tocando	playing
mantenido	maintained
mantenido	kept
falla	fail
falla	fails
falla	misses
romper	breaking
neerlandés	dutch
bloqueado	locked
bloqueado	blocked
tocó	touched
conformado	conformed
lucio	pike
avanzada	advanced
situados	situated
pendiente	pending
recordar	remembering
recordar	remember
comenzando	beginning
comenzando	commencing
comenzando	starting
separa	separates
tomada	taken
declara	declare
declara	declares
alegría	cheer
reconoció	acknowledged
cría	breeding
comenzado	started
comenzado	begun
nominada	nominated
decidir	deciding
decidir	decide
obtenidos	obtained
sufrir	suffer
asistencias	assists
quedarse	staying
condujo	drove
convertir	convert
convertir	converting
emite	emits
levantamiento	uplift
hebreo	hebrew
causar	causing
ordenado	ordained
ordenado	ordered
asociada	associated
estimada	esteemed
estimada	estimated
poniendo	putting
colaborar	collaborate
colaborar	collaborating
distribuye	distributes
distribuye	distribute
auge	booming
encargo	commissioned
censura	censor
liberado	released
liberado	freed
liberado	liberated
afecta	affects
afecta	affect
seca	dry
seca	dried
marchó	marched
medir	measuring
asume	assume
asume	assumes
duelo	grieving
duelo	mourning
correr	running
correr	run
ocupando	occupying
cantando	chanting
invitada	invited
rap	rapping
respondió	replied
respondió	answered
respondió	responded
asistir	attending
asistir	assist
asistir	attend
actuando	acting
anuncia	announce
tendencias	trending
elaborado	elaborate
elaborado	elaborated
elaborado	crafted
asumir	assume
conducción	driving
introducido	entered
introducido	introduced
partió	departed
conocía	knew
citas	dating
aprobada	approved
investigar	investigate
decidido	decided
decidido	determined
enfrenta	confronts
destruida	destroyed
seguida	followed
holandés	dutch
viendo	seeing
viendo	watching
regulación	regulating
abandona	abandons
abandona	abandon
requieren	require
pretendía	intended
flash	flash
proclamó	proclaimed
aprovechando	leveraging
aprovechando	harnessing
aliado	allied
enfrentar	confront
ama	loves
luchó	wrestled
luchó	struggled
luchó	fought
calvo	balding
creer	believe
creer	believing
creer	belive
compartir	sharing
probar	prove
probar	try
provocando	sparking
provocando	causing
provocando	provoking
armados	armed
emitida	emitted
reside	reside
reside	resides
separadas	separated
express	express
montaje	mounting
considerando	considering
enviados	sent
asesinados	murdered
asesinados	assassinated
asesinados	killed
vaya	go
constituido	constituted
constituido	formed
ingresar	enter
próximos	upcoming
editada	edited
envía	sends
causando	causing
atacó	attacked
preparar	prepare
encontrados	found
formatos	formatting
bombardeo	shelling
cambiando	changing
lento	slow
apoyado	supported
incluidas	included
sainte	sainte
reduce	reduces
reduce	reduce
coronado	crowned
esperando	waiting
esperando	expecting
esperando	hoping
trajo	brought
bienestar	wellbeing
implementación	implementing
perdida	lost
protagonizó	starred
identificado	identified
ejecutar	execute
ejecutar	run
destinada	destined
dedicados	dedicated
tallos	stems
adoptado	adopted
quieren	want
añadido	added
contener	contain
secos	dry
secos	dried
desarrollados	developed
entiende	understands
entiende	understand
cruzar	crossing
responder	responding
responder	answering
responder	reply
cubiertas	covered
existió	existed
trasladar	relocate
produciendo	producing
certificado	certified
descubierta	discovered
descubierta	spotted
descubierta	uncovered
paloma	dove
atractivo	appealing
volar	fly
volar	flying
entregado	delivered
entregado	surrendered
asientos	seating
doblaje	dubbing
derrotas	defeats
introducir	introduce
inmaculada	immaculate
divina	divine
mostrado	shown
mostrado	displayed
levante	levante
reunir	assemble
reunir	gather
reunir	reunite
mirada	gaze
mirada	look
cerrar	closing
reducida	reduced
escribiendo	writing
anunciado	announced
anunciado	advertised
mató	killed
extendido	extended
ejecutado	executed
denominados	denominated
intentando	trying
intentando	attempting
crecer	growing
crecer	grow
apreciar	appreciating
apreciar	appreciate
discutir	discuss
recuperó	regained
carece	lacks
conducido	driven
poseer	possessing
poseer	possess
poseer	owning
capturar	capturing
adquiere	acquires
niega	denies
marcada	marked
sobrevivir	survive
sobrevivir	surviving
consideradas	considered
escasos	sparse
confirmado	confirmed
comunica	communicates
impedir	prevent
impedir	impede
ascendió	ascended
certificados	certified
exportación	exporting
habitan	inhabit
operar	operate
operar	operating
instalado	installed
acompañada	accompanied
relata	relates
relata	recounts
eco	echo
polaca	polish
húmedo	moist
construye	build
agregar	adding
agregar	add
combinado	combined
circo	cirque
robo	steal
modificado	modified
conservado	retained
conservado	conserved
conservado	preserved
autoría	authoring
jugaron	played
condena	condemns
start	start
galardonado	awarded
separada	separated
comprensión	understanding
dándole	giving
distinguir	distinguishing
distinguir	distinguish
rodeada	surrounded
terminada	finished
conservar	preserve
conservar	keep
conservar	conserve
riego	watering
afectados	affected
definida	defined
desarrollando	developing
resultando	resulting
gaspar	kaspar
ejerce	exerts
verbo	verb
mixto	mixed
estimación	estimating
estimación	estimated
detenidos	arrested
detenidos	detained
fijo	fixed
introduce	introduces
pila	stack
prohibido	forbidden
prohibido	prohibited
prohibido	banned
cantó	sang
conformada	conformed
obtención	obtaining
terminando	finishing
terminando	ending
clasificar	categorize
clasificar	classify
espinas	thorn
constituida	constituted
mencionados	mentioned
adjunto	attached
simultáneamente	simultaneous
simultáneamente	simultaneously
alcaldía	mayoral
perfecto	perfect
móviles	mobile
dependiente	dependent
positivo	positive
iguales	equal
juveniles	juvenile
masculina	masculine
históricamente	historically
educativa	educational
específica	specific
distinta	different
adecuada	adequate
just	just
salvaje	wild
salvaje	savage
baleares	balearic
linda	cute
linda	nice
plana	flat
financieros	financial
loco	insane
loco	crazy
loco	mad
exitoso	successful
formalmente	formally
adolescente	teenage
adolescente	adolescent
irlandés	irish
asiático	asiatic
asiático	asian
utilidad	useful
receptor	recipient
personalmente	personally
contemporáneos	contemporaneous
contemporáneos	contemporary
automáticamente	automatically
necesarias	necessary
caras	expensive
rara	rare
soviéticos	soviet
poética	poetic
ocupada	busy
favorable	favourable
favorable	favorable
significativa	meaningful
significativa	significant
dispuesto	willing
sagrada	sacred
primarias	primary
empresarial	corporate
dominante	dominant
ligera	slight
ligera	lightweight
popularmente	popularly
específicos	specific
septentrional	northern
difíciles	difficult
nucleares	nuclear
pendiente	outstanding
realista	realistic
definitivo	definite
definitivo	final
definitivo	definitive
positiva	positive
singular	singular
vital	vital
australiana	australian
efectiva	effective
estructural	structural
ordenado	orderly
anónimo	anonymous
suave	mellow
suave	soft
suave	mild
