नक्शे	maps
भण्डार	warehouse
ड्रग	drug
कंपनियाँ	companies
भूवैज्ञानिक	geologist
जोश	zeal
जोश	furore
जोश	josh
सेंटीमीटर	centimeters
सेंटीमीटर	centimetres
सेंटीमीटर	centimetre
सीने	chest
शिवपुरी	shivpuri
घर्षण	friction
भित्ति	mural
नरसंहार	massacre
नरसंहार	genocide
विचारकों	thinkers
दुर्भाग्य	misfortune
संतृप्त	saturation
पड़ोस	neighborhood
पड़ोस	neighborhoods
न्यास	foundation
क्षार	alkalis
फोरम	forum
पूँछ	tail
राज्याभिषेक	coronation
लड़का	boy
पीतल	brass
मुक्केबाजी	boxing
पिस्टन	piston
त्रिज्या	radius
सस्ता	cheap
आर्द्रता	humidity
ऑक्सीकरण	oxidation
एसी	ac
संचिका	files
संचिका	file
स्पष्टीकरण	explanation
स्पष्टीकरण	explanations
स्पष्टीकरण	clarification
श्रुति	revelation
शक्तियाँ	powers
आंकड़ा	data
ग़ज़ल	ghazal
प्रजापति	prajapati
कारखाना	factory
फलक	board
फलक	boards
फलक	pane
फलक	panel
पते	addresses
निपुण	master
मिसाल	parable
मिसाल	example
बंदूक	gun
कलश	pinnacle
कंपन	vibrations
कंपन	vibration
संतुष्टि	satisfaction
संवेग	momentum
बाघों	tiger
बाघों	tigers
वंशावली	genealogy
गुंजन	buzz
निमोनिया	pneumonia
गुरुवार	thursdays
गुरुवार	thursday
जटिलताओं	complications
उत्पीड़न	harassment
उत्पीड़न	assault
पापों	sins
शाखाएं	branches
मानकीकरण	standardization
झंडा	flag
ग्लास	glass
आंत	intestine
आंत	gut
फ़ुट	feet
फ़ुट	ft
क्रियान्वयन	implementation
सिगार	cigar
रुपया	rupee
पाद	fart
दैत्य	giant
दैत्य	monster
प्रक्रम	process
गवाह	witnesses
गवाह	witness
क्रिश्चियन	christian
पत्रकारों	journalists
पत्रकारों	reporters
मजाक	joke
कांड	scandal
गर्व	proud
क्लोरीन	chlorine
संगीतकारों	musicians
मिठाई	dessert
मिठाई	sweets
चांद	moon
बदलना	replacement
सड़कें	roads
सड़कें	streets
घेरा	perimeter
घेरा	siege
घेरा	circle
वेबसाईट	websites
सब्जियों	vegetables
हाथियों	elephants
अग्र	front
विपक्षी	antagonist
बहिष्कार	boycott
टमाटर	tomato
टमाटर	tomatoes
खरीदारी	purchase
खरीदारी	shopping
स्वराज	swaraj
शंकु	cone
सिक्का	coin
पर्दे	curtains
घोटाले	scandals
लाभांश	dividend
राजी	raji
आटा	flour
आटा	dough
सभ्यताओं	civilizations
निर्णयों	judgements
जासूस	detective
जासूस	spy
जासूस	detectives
कार्यक्षेत्र	scope
कार्यक्षेत्र	workplace
मोटरसाइकिल	motorcycles
मोटरसाइकिल	motorcycle
पुनरावृत्ति	replay
खतरों	dangers
बेड़े	fleet
किशोरावस्था	teenager
किशोरावस्था	adolescence
अनगिनत	infinite
सुन्नी	sunni
आदर्शों	ideals
डिवाइस	device
डिवाइस	devices
अवगत	cognizant
सूचियाँ	lists
आतंकवादियों	militants
आतंकवादियों	terrorists
बकरी	goat
महीन	finer
कुर्सी	chair
सांचे	mould
सिंधी	sindhi
सिंधी	sindhis
क्षितिज	horizon
आचार्यों	guru
रैली	rally
रैली	jamboree
दीपावली	diwali
संविदा	pact
संविदा	contract
शोधकर्ता	researcher
व्यू	trap
प्रक्षेपास्त्र	rocket
प्रक्षेपास्त्र	missile
फोटोग्राफी	photography
धड़	pounding
प्रतिभूति	securities
साउंडट्रैक	soundtrack
महलों	palaces
वार्तालाप	conversation
वार्तालाप	conversations
टीले	dunes
फोकस	focus
वन्यजीव	wildlife
रुझान	trend
रुझान	trends
रुझान	aptitude
वेशभूषा	costume
वेशभूषा	costumes
भागीदार	partner
भागीदार	partners
अस्पतालों	hospitals
विक्रेताओं	sellers
पुस्तिका	booklet
नाभि	navel
आधुनिकता	modernity
यन्त्र	machine
गर्भाधान	conception
प्रतिरोधक	buffer
चैम्पियन	champ
चैम्पियन	champion
मैगज़ीन	magazines
सीमाएं	limitations
सीमाएं	borders
आयुर्वेदिक	ayurvedic
हिसार	hissar
हिसार	embargo
संस्मरण	memoir
संस्मरण	reminiscence
बाप	father
थाली	plate
थाली	thali
कार्यभार	assignments
कार्यभार	assignment
कार्यभार	workload
एनालॉग	analog
युगों	era
रुकावट	blockage
रुकावट	obstruction
रुकावट	condom
प्रतिबिंब	reflection
प्रतिबिंब	mirror
गिरोह	gang
दायित्वों	obligations
मर्यादा	dignity
मर्यादा	modesty
बसंत	spring
न्यायाधीशों	judges
उपनिवेशों	colony
बहुवचन	plural
एकाधिकार	monopoly
एकदिवसीय	monopolized
जादूगर	wizard
जादूगर	magicians
जादूगर	magician
पड़ेगा	gotta
प्रतिमान	pattern
प्रतिमान	paradigm
प्रतिमान	model
प्रतिमान	idol
वोल्ट	volt
अमोनिया	ammonia
विधायिका	legislature
कॉफ़ी	coffee
वीणा	harp
उल्टा	reverse
किराए	fares
किराए	rent
न्यायालयों	courts
मांसपेशी	muscle
विषाक्त	toxic
तूफ़ान	storms
तूफ़ान	typhoon
तूफ़ान	storm
बारूद	shell
बदली	overcast
पड़ाव	milestone
पड़ाव	sojourn
पड़ाव	hill
एंजाइम	enzyme
कॉमर्स	commerce
चलाना	execution
दादी	grandmother
दादी	grandma
कमिश्नर	commissioner
पहाड़ियाँ	hills
गंधक	sulfur
गंधक	sulphur
स्तोत्र	hymn
षड्यंत्र	conspiracy
पश्च	rear
क्रांतिकारियों	revolutionaries
हीरे	diamonds
प्रशिक्षक	trainer
प्रशिक्षक	instructor
नास्तिक	atheism
नास्तिक	atheist
प्रवर्धक	amplifier
फसलें	crops
डायोड	diode
सौभाग्य	fortunes
सौभाग्य	fortune
श्लोकों	slokas
श्लोकों	hymns
सामंत	count
हिब्रू	hebrew
आत्मसमर्पण	surrender
तैराकी	swimming
चिट्ठा	blog
चिट्ठा	blogosphere
ठंड	cold
चूहे	mice
चूहे	rats
दरार	rift
दरार	crack
दार्शनिकों	philosophers
पंकज	lotus
संवेदना	sensation
परवाह	care
परवाह	concern
बहुविकल्पी	disambiguation
बमबारी	bombardment
बमबारी	bomb
कीड़े	worms
कठपुतली	puppet
किस्में	strands
किस्में	varieties
किस्में	variety
विषाक्तता	poisoning
खोजी	exploration
सम्मेलनों	conferences
असुरक्षित	insecure
रेखीय	linear
शहद	honey
ऑपरेटर	operator
ऑपरेटर	operators
नल	tap
मनी	money
नारा	slogan
सेक्टर	sector
सेक्टर	sectors
क्रियाशील	adjective
बैठकों	meetings
बैठकों	sittings
भट्ठी	furnace
विकलांगता	disability
दरिया	river
नोट्स	notes
विलास	luxury
धर्मशास्त्र	theology
चश्मे	goggles
चश्मे	eyeglasses
चश्मे	glasses
एक्यूपंक्चर	acupuncture
थोक	wholesale
कामयाबी	success
सिलसिले	whispers
फर्क	difference
दुग्ध	dairy
वसूली	recovery
मौन	silence
डिप्लोमा	diploma
घटा	decrease
कुलपति	chancellor
पॉइंट	points
पॉइंट	point
त्वरण	acceleration
स्केल	scale
मुंशी	secretary
मक्खन	butter
साम्राज्यवाद	imperialism
सूत	yarn
सूत	cotton
वैधता	legality
वैधता	validity
वैधता	justice
सीना	chest
मिथक	myth
श्रृंगार	makeup
प्रावधानों	provisions
नतीजा	fallout
नतीजा	conclusion
निर्देशिका	directory
निर्देशिका	index
निर्देशिका	directories
समता	parity
समता	equality
समता	affinity
बेरोजगारी	unemployment
लत	addiction
जुर्माना	fine
जुर्माना	fines
क़ुरान	quran
पूर्णता	completion
पूर्णता	perfection
लोकपाल	bill
पीड़ितों	victims
शक्तियां	powers
शक्तियां	forces
बादलों	clouds
चतुर्भुज	quadrilateral
चतुर्भुज	rectangle
चीता	cheetah
प्रतिभाशाली	genius
पनीर	cheese
पनीर	paneer
नियोक्ता	employers
नियोक्ता	employer
पश्तो	pashto
नाड़ी	pulse
गैसें	gases
सहभागिता	engagement
सहभागिता	interaction
गतिविधियाँ	activities
कृषक	farmers
गुदा	anus
वैश्य	vaishya
टीकाकरण	vaccination
बीघा	bigha
मूर्तिकला	sculpture
किरणें	rays
वैश्वीकरण	globalization
बैग	bag
बैग	bags
नर्तक	dancers
नर्तक	dancer
ग्लूकोज	glucose
नीतियाँ	policies
प्रतिभागियों	participants
आपरेशन	operation
ब्रॉडबैंड	broadband
सस्ती	cheap
गन्ना	sugarcane
स्याही	ink
हल्दी	turmeric
हवाओं	winds
परम्पराओं	traditions
सेब	apple
शत्रुओं	haters
शत्रुओं	antagonist
रो	rho
पुस्तकालयों	libraries
पुस्तकालयों	library
चौकी	checkpoint
चौकी	outpost
बहनों	sisters
अश्लील	obscene
अश्लील	dirty
आपात	emergency
स्त्रियाँ	women
मामा	uncle
रूपांतर	variant
हुक्म	nod
हुक्म	command
बुराई	wickedness
बुराई	evil
टाइपिंग	typing
उत्तेजक	stimulant
दशमलव	decimal
काई	moss
हस्त	hand
निकटता	proximity
निकटता	closeness
सैर	promenade
सैर	walks
सैर	walk
विदेशियों	foreigners
इंजीनियरों	engineers
धनबाद	thanks
पूछताछ	inquiry
पूछताछ	inquiries
सर्पिल	spiral
परिशिष्ट	appendix
गवाही	testimony
कैदियों	prisoners
हुक	hook
दीवारें	walls
लोकमान्य	esteemed
नक़ल	copy
नक़ल	copies
देशभक्ति	patriotism
बर्बाद	waste
कोलेस्ट्रॉल	cholesterol
बगीचे	garden
युग्म	paired
युग्म	double
ईमान	faith
भट्टी	furnace
पोटैशियम	potassium
लोकगीत	folklore
लोकगीत	folksong
तोप	cannon
दूरभाष	telephone
दुल्हन	bride
आंत्र	intestine
जस्ता	zinc
जस्ता	pewter
गुजरता	passes
माली	gardener
माली	mali
परियोजनाएं	projects
जन्मस्थान	birthplace
बाँस	bamboo
सुधारक	reformer
उत्खनन	excavation
उन्नयन	exaltation
उन्नयन	upgrade
उन्नयन	elevation
पेंशन	pension
गरिमा	dignity
धागे	yarn
धागे	cotton
धागे	thread
सिलेंडर	cylinders
देशो	countries
खोपड़ी	skull
गोलियों	gunshots
गोलियों	bullets
विद्रोहियों	rebels
पट्टिका	pallet
बालिका	girl
कबीले	tribe
सूर्योदय	sunrise
झटके	shocks
प्रक्षेप	projection
पर्यवेक्षण	supervision
रिसाव	leaks
रिसाव	leak
सेम	bean
सेम	beans
शोधन	refining
बरसात	shower
बरसात	rain
यथार्थवाद	realism
बाह	arm
तालिबान	taliban
नेताजी	leader
दर्शनशास्त्र	philosophy
ज्वाला	flame
ईंटों	brick
कर्ज	debt
सलाद	lettuce
सलाद	salads
सलाद	salad
जलन	irritation
पहेली	puzzles
पहेली	puzzle
पहेली	enigma
रक्तस्राव	haemorrhage
चादर	shawl
चादर	sheet
जामा	robe
नासिक	nose
एथिलीन	ethylene
सेकेंड	seconds
आयुध	ordnance
आयुध	weapon
चढ़ाव	lows
चढ़ाव	climb
मानविकी	humanities
आयताकार	rectangle
प्रस्तावना	introduction
प्रस्तावना	prologue
प्रस्तावना	preamble
लावा	lava
बाधाओं	barriers
बाधाओं	obstacles
माइग्रेन	migraine
परिधान	dress
परिधान	costumes
परिधान	garment
परिधान	apparel
गोलीबारी	shootout
गोलीबारी	shooting
जग	world
जग	jag
पम्प	pump
नाल	horseshoe
पवित्रता	sanctity
पवित्रता	purity
पवित्रता	holiness
श्रेष्ठता	superiority
मुलाक़ात	hangout
मुलाक़ात	meeting
सीढ़ी	ladder
सीढ़ी	stairs
प्रतिकृति	pattern
प्रतिकृति	replica
प्रतिकृति	replicas
घराने	families
ताड़	palm
प्रवृति	penchant
धमाके	bang
परोसा	portion
सिरदर्द	headache
कट्टर	staunch
उपनिवेशवाद	colonialism
सैंडविच	sandwich
सैंडविच	sandwiches
चन्द	callers
उद्योगपति	industrialist
शैतान	devil
शैतान	satan
उद्धार	rescue
बिस्तर	bed
बोल्ट	bolt
सेवानिवृत्ति	retirement
सेवानिवृत्ति	pension
जश्न	celebrations
जश्न	celebration
जश्न	jamboree
लहरों	waves
अस्थिरता	instability
स्पाइवेयर	spyware
सीसा	lead
तना	stem
सदाबहार	evergreen
कंकाल	skeleton
नाइट्राइट	nitrite
तांबे	copper
समतुल्य	equivalent
संभावनाओं	possibilities
केक	cake
साख	goodwill
जिज्ञासा	curiosity
अन्याय	injustice
अनुसूची	schedule
लेप	dabs
हिम्मत	courage
प्रमाणपत्र	certificates
प्रमाणपत्र	certificate
