hingerichtet	executed
gestiftet	endowed
bezahlt	payed
bezahlt	pays
bezahlt	paid
besetzte	occupied
hinterlassen	leave
abgesetzt	discontinued
abgesetzt	deposed
ausgeliefert	delivered
ausgeliefert	shipped
ausgeliefert	extradited
beibehalten	retained
beibehalten	keep
beibehalten	maintained
beibehalten	maintain
beibehalten	retain
vorbereitet	prepped
vorbereitet	prepared
stürzte	crashed
stürzte	collapsed
kannte	knew
einverstanden	agreed
einverstanden	agree
löst	solves
individuelle	customised
individuelle	customized
scheitern	fail
scheitern	failing
aussieht	looks
reagieren	react
reagieren	reacting
reagieren	responding
entdecken	discovering
entdecken	explore
entdecken	detect
entdecken	discover
angewiesen	instructed
beginnend	beginning
beginnend	commencing
schien	appeared
schien	shone
schien	seemed
gedenken	remembering
gedenken	commemorate
gesendet	transmitted
gesendet	sent
gesendet	posted
zwang	forced
verbündeten	allied
abgeschafft	abolished
angelegten	landscaped
beeinflussen	affect
beeinflussen	influencing
ermitteln	investigating
ermitteln	investigate
ermitteln	detect
ermitteln	identify
verbreiteten	disseminated
landete	landed
schoss	shot
partnerschaft	twinning
erfordert	requiring
erfordert	requires
lehren	teach
beauftragte	commissioned
beantworten	answering
reformierten	reformed
bittet	invites
bittet	asks
bittet	beg
erlauben	enable
erlauben	allow
ausgegangen	went
gescheitert	failed
gescheitert	unsuccessful
renate	renate
zugewiesen	assigned
zugewiesen	allocated
zugewiesen	attributed
zugewiesen	allotted
reifen	mature
verwechseln	mistaking
verwechseln	confuse
durchführen	perform
durchführen	performing
stichwort	keyword
erwünscht	desired
erwünscht	appreciated
erwünscht	wanted
konzentriert	concentrated
konzentriert	focussed
konzentriert	focuses
konzentriert	focused
erstellte	compiled
erstellte	created
geäußert	uttered
geäußert	voiced
basierend	based
freuen	rejoice
umgehen	evade
umgehen	bypass
umgehen	circumvent
bricht	breaks
empfohlen	suggested
empfohlen	recommended
empfohlen	advised
vernichtet	destroyed
vernichtet	annihilated
vernichtet	exterminated
vernichtet	destroys
akzeptieren	accepting
akzeptieren	accept
übersehen	missed
übersehen	overlooked
übersehen	overlook
erlaubte	permitted
erlaubte	allowed
mögen	liking
mögen	like
mögen	like
behauptete	claimed
behauptete	asserted
behauptete	alleged
verfolgen	haunt
anzeigen	display
anzeigen	view
blättern	leaf
blättern	scrolling
blättern	scroll
angetrieben	driven
angetrieben	propelled
angetrieben	powered
wiederholen	redo
wiederholen	repeat
reformierte	reformed
wohnt	lives
wohnt	resides
wachsenden	growing
dominiert	dominates
dominiert	dominated
dominiert	dominate
dominiert	dominating
geschafft	managed
geschafft	accomplished
geschafft	made
geschafft	done
geschafft	succeeded
ulrike	ulrike
übertrug	devolved
klärung	clarify
verfolgte	tracked
verfolgte	pursued
verfolgte	haunted
verfolgte	persecuted
angewandt	applied
eingeleitet	initiated
eingeleitet	instituted
wiederherstellen	restore
wiederherstellen	recover
wiederherstellen	redo
beseitigt	solved
beseitigt	eliminated
beseitigt	abolished
beseitigt	disposed
verteidigte	defended
vollendet	completes
saniert	rehabilitated
betreute	oversaw
besiegt	conquered
besiegt	beaten
besiegt	vanquished
besiegt	defeated
schwimmen	swim
schwimmen	swimming
organisierten	organised
organisierten	organized
färbung	coloring
färbung	colouring
