waves	winkt
handling	handhaben
collect	abholen
collect	sammeln
collect	einsammeln
secured	abgesichert
secured	gesichert
pushing	schieben
lift	anheben
lift	heben
breeding	züchten
ignored	ignorierte
ignored	ignoriert
enjoy	genießen
enjoy	genieße
enjoy	geniessen
realized	realisiert
realized	realisierte
realized	verwirklicht
flew	geflogen
flew	flog
flew	flogen
lighting	leuchten
lighting	anzünden
smooth	glätten
involve	einbinden
involve	einbeziehen
escaped	geflüchtet
escaped	abgehauen
escaped	entkam
escaped	entkommen
escaped	geflohen
kills	tötet
taste	probieren
taste	schmecken
requiring	erfordert
requiring	erfordern
sending	schicken
sending	senden
traveling	reisen
reformed	reformierte
reformed	reformierten
reformed	reformiert
pack	packen
solve	lösen
pronounced	ausgeprägte
pronounced	ausgesprochen
pronounced	ausgeprägt
exhibit	ausstellen
exhibit	zeigen
exhibit	aufweisen
discovers	entdeckt
switched	vertauscht
switched	eingeschaltet
switched	wechselte
switched	umgestellt
switched	gewechselt
switched	getauscht
switched	ausgeschaltet
withdraw	zurücknehmen
withdraw	widerrufen
withdraw	abziehen
withdraw	zurückziehen
promise	versprochen
promise	verspreche
convert	konvertieren
convert	umwandeln
convert	wandeln
arrive	anreisen
arrive	ankommen
swing	schaukeln
swing	schwing
swing	schwingen
witness	bezeugen
rings	ringen
rings	klingeln
publish	veröffentlichen
publish	publizieren
assists	hilft
assists	assistiert
bow	beugen
travelled	gereist
travelled	reisten
travelled	reiste
firing	schießen
firing	abfeuern
firing	feuern
stored	gespeicherte
stored	gespeichert
stored	gelagert
stored	eingelagert
departed	abgereist
departed	abgefahren
departed	gegangen
earn	verdiene
earn	verdienen
decorated	verziert
decorated	dekoriert
decorated	geschmückt
defended	verteidigt
defended	verteidigte
approached	näherte
sailed	segelte
sailed	abgefahren
authored	verfasst
stolen	gestohlene
stolen	gestohlen
stolen	geraubt
stolen	geklaut
commanding	kommandiert
pin	fixieren
owns	gehört
owns	besitzt
copied	kopiert
copied	kopieren
handled	gehandhabt
repeat	wiederholen
repeat	wiederhole
repeat	wiederholt
exhibited	ausgestellte
exhibited	ausgestellten
exhibited	ausgestellt
investigate	ermitteln
investigate	untersuchen
verify	verifizieren
verify	überprüfen
verify	bestätigen
verify	prüfen
discontinued	aufgegeben
discontinued	beendet
discontinued	abgebrochen
discontinued	abgesetzt
discontinued	eingestellt
explaining	erklären
proven	belegt
proven	nachgewiesen
proven	bewährte
proven	bewiesen
proven	bewährt
dying	stirbt
dying	sterben
surrender	aufgeben
surrender	ergeben
surrender	kapitulieren
focusing	fokussieren
focusing	konzentrieren
administered	verwaltete
administered	verwaltet
administered	verabreicht
pushed	geschoben
pushed	gedrückt
pushed	gedrängt
rescued	gerettet
rescued	rettete
listen	hört
listen	höre
listen	hören
listen	anhören
listen	zuhören
burn	brenn
burn	brennen
burn	verbrennen
comprises	umfasst
comprises	umfaßt
remembered	erinnerten
remembered	erinnerte
retain	beibehalten
retain	behalten
wishes	wünschen
wishes	wünscht
prepare	bereiten
prepare	vorbereiten
ruins	ruiniert
dissolved	löste
dissolved	gelöst
dissolved	aufgelöst
reveal	zeigen
reveal	enthüllen
reveal	offenbaren
reveal	aufdecken
connects	verbindet
fed	gefüttert
fed	ernährt
fed	gespeist
fed	genährt
disbanded	aufgelöst
forcing	erzwingen
forcing	zwingen
imprisoned	inhaftiert
imprisoned	eingesperrt
praise	gelobt
praise	loben
abolished	aufgehoben
abolished	gestrichen
abolished	abgeschafft
abolished	beseitigt
lacks	fehlt
pull	zieh
pull	ziehen
rape	vergewaltigt
rape	vergewaltigen
verified	überprüft
verified	geprüfte
verified	geprüft
verified	verifiziert
verified	bestätigt
defining	festlegen
defining	definieren
hosting	beherbergen
hosting	ausrichten
retreat	zurückziehen
ignore	ignorieren
ignore	ignoriert
ignore	ignoriere
manages	verwaltet
gathered	versammelte
gathered	gesammelt
gathered	zusammengetragen
gathered	versammelt
reflected	reflektiert
reflected	spiegelt
reflected	spiegelte
afraid	fürchten
pound	hämmern
pound	schlagen
delay	verzögert
delay	verzögern
deceased	verstorben
deceased	gestorben
speaks	spricht
gathering	versammeln
gathering	zusammentragen
gathering	sammeln
enrolled	eingeschrieben
loved	lieben
loved	liebte
loved	liebten
loved	geliebt
reforms	reformieren
sustained	stattgegeben
sustained	aufrechterhalten
confirm	bestätige
confirm	bestätigen
breed	züchten
enabled	eingeschaltet
enabled	ermöglicht
enabled	aktiviert
altered	änderte
altered	abgeändert
altered	modifiziert
altered	geändert
altered	verändert
illustrate	illustrieren
illustrate	veranschaulichen
authorized	genehmigte
authorized	genehmigt
authorized	autorisierten
authorized	autorisiert
hide	ausblenden
hide	versteckt
hide	verbergen
hide	verstecken
hide	versteck
compact	komprimieren
refuses	weigert
delayed	verzögert
delayed	aufgeschoben
delayed	verspätet
encountered	begegnet
encountered	angetroffen
encountered	aufgetreten
checking	überprüfen
agrees	zustimmt
paying	bezahlen
interpreted	ausgelegt
interpreted	interpretiert
submit	vorzulegen
submit	übermitteln
submit	einreichen
submit	senden
desired	gewünschten
desired	gewünscht
desired	gewünschte
desired	erwünscht
coached	trainierte
coached	trainiert
promised	versprochen
promised	versprochene
promised	versprach
promised	zugesagt
gaining	erlangen
endangered	bedrohte
endangered	gefährdet
endangered	bedroht
endangered	bedrohten
endangered	gefährdeten
mate	paaren
extends	erstreckt
extends	erweitert
collapsed	brach
collapsed	zusammengebrochen
collapsed	stürzte
hopes	hofft
hurt	verletzen
hoping	hoffen
hoping	hofft
hoping	hoffe
hoping	gehofft
imposed	auferlegt
imposed	aufgezwungen
imposed	verhängte
confusing	verwirren
respected	eingehalten
respected	respektiert
respected	geachtet
centered	zentriert
forget	vergessen
forget	vergesst
forget	vergiß
forget	vergiss
forget	vergisst
implies	impliziert
commenced	begonnen
commenced	angelaufen
commenced	begann
enable	aktivieren
enable	erlauben
enable	einschalten
enable	ermöglichen
loves	lieben
loves	liebt
stretch	dehnen
stretch	strecken
nominate	benennen
nominate	ernennen
nominate	nominieren
striking	schlagen
resumed	wiederaufgenommen
satisfy	zufriedenstellen
satisfy	befriedigen
export	exportieren
export	exportiert
impressed	beeindruckt
impressed	beeindrucken
maintains	behält
maintains	unterhält
enlisted	angeworben
enlisted	verpflichtete
argues	argumentiert
picks	auswählt
prevented	verhindert
prevented	gehindert
prevented	verhinderte
supplement	ergänzen
commands	befehlen
commands	kommandiert
disappeared	verschollen
disappeared	verschwand
disappeared	verschwunden
patrolling	patrouillieren
beaten	geschlagen
beaten	verprügelt
beaten	besiegt
smoke	rauchen
divorce	scheiden
thrown	weggeworfen
thrown	geworfen
diving	tauchen
cleaned	gesäubert
cleaned	gereinigt
complement	ergänzen
varies	variiert
unified	vereinheitlicht
clarify	klären
clarify	klärung
admit	gestehe
admit	zugeben
admit	gestehen
admit	eingestehen
releasing	loslassen
releasing	freigeben
releasing	veröffentlichen
recalled	zurückgerufen
recalled	erinnerte
sail	segeln
celebrate	feiert
celebrate	feiern
celebrate	feier
collaborated	zusammengearbeitet
collaborated	mitgearbeitet
associates	assoziiert
drove	fuhr
drove	fuhren
learns	erfährt
learns	lernt
learns	erlernt
drives	fährt
drives	antreiben
accomplished	erreicht
accomplished	geschafft
accomplished	vollbracht
recruited	angeheuert
recruited	angeworben
recruited	rekrutiert
coordinates	koordiniert
disabled	gesperrt
disabled	deaktiviert
settle	begleichen
settle	niederlassen
cites	zitiert
distinguish	unterscheiden
distinguish	unterscheidung
distinguish	unterscheidet
introduce	vorstellen
introduce	einzuführen
introduce	einführen
honored	geehrte
honored	wohlwollend
honored	geehrt
deliver	ausliefern
deliver	liefern
threw	warf
threw	geschmissen
threw	warfen
threw	geworfen
permit	erlauben
permit	zulassen
conducting	dirigieren
estimate	schätzen
automated	automatisierte
automated	automatisieren
automated	automatisiert
obscure	verschleiern
appreciated	erwünscht
appreciated	geschätzt
appreciated	schätzen
activated	aktivierte
activated	aktiviert
varied	verschieden
varied	abwechslungsreich
varied	vielfältig
varied	unterschiedlich
varied	abwechslungsreiche
advised	empfohlen
acknowledged	bestätigte
acknowledged	anerkannt
acknowledged	anerkannte
searches	sucht
searches	suchen
paste	einfügen
paste	fügen
implement	umsetzen
implement	implementieren
accommodate	unterbringen
accommodate	aushelfen
crashed	abgestürzt
crashed	stürzte
construct	bauen
construct	konstruiert
construct	konstruieren
tune	einschalten
tune	stimmen
reviewing	begutachten
spotted	entdeckte
spotted	bemerkte
spotted	gesehen
spotted	entdeckt
spotted	gesichtet
biased	voreingenommen
fights	kämpfen
fights	kämpft
transformed	verwandelt
transformed	verwandelte
transformed	gewandelt
transformed	umgewandelt
transformed	transformiert
decrease	verringern
decrease	reduzieren
decrease	zurückgehen
reserved	reservierten
reserved	reservierte
reserved	reserviert
forgotten	vergessen
forgotten	vergessenen
forgotten	vergaß
forgotten	vergessene
crop	zuschneiden
licensing	lizenzieren
collecting	sammeln
collecting	einsammeln
enhanced	verstärkte
enhanced	erweitert
enhanced	verbesserte
enhanced	erweiterte
enhanced	verbessert
consent	zustimmen
consent	einwilligen
blow	sprengen
blow	blasen
blow	schlagen
measuring	messen
measuring	vermessen
protecting	schützen
protecting	beschützen
stamp	stempeln
redirected	umgeleitet
redirected	weitergeleitet
lit	beleuchtet
lit	angezündet
lit	erleuchtet
trace	nachverfolgen
succeed	gelingen
concentrated	konzentrierte
concentrated	konzentriert
concentrated	konzentrierter
identifying	identifizieren
likes	mögen
likes	gefällt
likes	mag
wore	trugen
wore	getragen
wore	trug
trails	verfolgen
demanded	forderte
demanded	verlangt
demanded	gefordert
demanded	eingefordert
demanded	verlangte
throwing	schmeißen
throwing	werfen
climb	steigen
climb	besteigen
climb	klettern
witnesses	bezeugen
constitute	darstellen
presenting	präsentieren
highlights	hervorheben
jumping	hüpfen
jumping	springt
jumping	springen
jumping	springe
ordained	ordiniert
ordained	geweiht
hoped	hoffte
hoped	hofften
hoped	gehofft
hoped	erhofft
bet	wetten
sue	verklagt
sue	verklagen
silence	schweig
stationed	stationiert
stationed	stationierten
murders	morden
bike	radfahren
differ	unterscheiden
differ	abweichen
