celebrar	celebrate
cruzar	crossing
responder	responding
responder	answering
responder	reply
cubiertas	covered
existió	existed
trasladar	relocate
produciendo	producing
certificado	certified
descubierta	discovered
descubierta	spotted
descubierta	uncovered
paloma	dove
atractivo	appealing
volar	fly
volar	flying
entregado	delivered
entregado	surrendered
asientos	seating
doblaje	dubbing
derrotas	defeats
introducir	introduce
inmaculada	immaculate
divina	divine
mostrado	shown
mostrado	displayed
levante	levante
reunir	assemble
reunir	gather
reunir	reunite
mirada	gaze
mirada	look
cerrar	closing
reducida	reduced
escribiendo	writing
anunciado	announced
anunciado	advertised
mató	killed
extendido	extended
ejecutado	executed
denominados	denominated
intentando	trying
intentando	attempting
crecer	growing
crecer	grow
apreciar	appreciating
apreciar	appreciate
discutir	discuss
recuperó	regained
carece	lacks
conducido	driven
poseer	possessing
poseer	possess
poseer	owning
capturar	capturing
adquiere	acquires
niega	denies
marcada	marked
sobrevivir	survive
sobrevivir	surviving
consideradas	considered
escasos	sparse
confirmado	confirmed
comunica	communicates
impedir	prevent
impedir	impede
ascendió	ascended
certificados	certified
exportación	exporting
habitan	inhabit
operar	operate
operar	operating
instalado	installed
acompañada	accompanied
relata	relates
relata	recounts
eco	echo
polaca	polish
húmedo	moist
construye	build
agregar	adding
agregar	add
combinado	combined
circo	cirque
robo	steal
modificado	modified
conservado	retained
conservado	conserved
conservado	preserved
autoría	authoring
jugaron	played
condena	condemns
start	start
galardonado	awarded
separada	separated
comprensión	understanding
dándole	giving
distinguir	distinguishing
distinguir	distinguish
rodeada	surrounded
terminada	finished
conservar	preserve
conservar	keep
conservar	conserve
riego	watering
afectados	affected
definida	defined
desarrollando	developing
resultando	resulting
gaspar	kaspar
ejerce	exerts
verbo	verb
mixto	mixed
estimación	estimating
estimación	estimated
detenidos	arrested
detenidos	detained
fijo	fixed
introduce	introduces
pila	stack
prohibido	forbidden
prohibido	prohibited
prohibido	banned
cantó	sang
conformada	conformed
obtención	obtaining
terminando	finishing
terminando	ending
clasificar	categorize
clasificar	classify
espinas	thorn
constituida	constituted
mencionados	mentioned
adjunto	attached
