impression	impresión
grants	beca
grants	subsidios
tributary	afluente
pin	alfiler
prototype	prototipos
prototype	prototipo
midnight	medianoche
quarterback	mariscal
duchy	ducado
arbitrators	árbitros
performers	intérpretes
performers	artistas
exploration	exploraciones
exploration	exploración
exploration	prospección
diversity	diversidad
sixteen	dieciséis
findings	descubrimientos
findings	hallazgos
findings	conclusiones
repeat	repiten
repeat	repita
repeat	repetimos
repeat	repito
repeat	repite
repeat	repitan
repeat	repetir
repeat	repetición
imdb	imdb
planets	planetas
theatrical	teatral
theatrical	teatrales
reconnaissance	reconocimiento
reconnaissance	reconocimientos
shots	toma
shots	tomas
shots	tiros
shots	chupitos
shots	disparos
complaint	quejas
complaint	denuncia
complaint	queja
complaint	reclamación
girlfriend	novia
resignation	resignación
resignation	renuncia
resignation	dimisión
fossil	fósiles
fossil	fósil
inches	centímetros
inches	pulgadas
tribal	tribales
surrender	rendición
surrender	entregar
surrender	entrega
surrender	entrego
surrender	rendirse
surrender	entregan
surrender	entregas
surrender	entreguen
surrender	entregue
substance	substancia
substance	sustancia
explosion	explosión
explosion	estallido
generations	generación
generations	generaciones
duck	patito
duck	patos
duck	pato
porter	portero
porter	mozo
zoo	zoológico
zoo	zoo
portions	porciones
ethics	éticos
ethics	éticas
ethics	ética
gaelic	gaélico
egg	óvulo
egg	huevo
conquest	conquistar
conquest	conquistas
conquest	conquiste
conquest	conquista
conquest	conquistan
conquest	conquisto
rod	vara
rod	varar
rod	varo
rod	varilla
rod	caña
rod	varas
algorithm	algoritmo
thesis	tesis
lover	amante
lover	enamorado
capitol	capitolio
ferdinand	fernando
marshal	alguacil
marshal	mariscal
marshal	comisaria
marshal	comisario
judaism	judaísmo
balls	pelotas
balls	balones
balls	bolas
balls	cojones
wrestlers	luchadores
sin	peca
sin	peque
sin	pecas
sin	pecan
sin	peco
sin	pecar
sin	pecado
holocaust	holocausto
saxophone	saxofón
saxophone	saxo
curriculum	currículum
curriculum	currículo
wishes	desea
wishes	deseos
ruins	ruinas
ruins	ruina
atlas	atlas
telegraph	telégrafo
performer	intérprete
performer	artista
cannon	cañon
cannon	cañones
cannon	cañón
encounter	encontramos
encounter	encontremos
encounter	encontrar
encounter	encuentra
encounter	encuentren
encounter	encuentran
encounter	encuentre
encounter	encuentro
encounter	encuentras
catalogue	catalogar
catalogue	catálogo
catalogue	catálogos
catalogue	catalogan
catalogue	cataloga
catalogue	catalogo
discrimination	discriminación
discrimination	discriminaciones
wizard	hechicero
wizard	mago
teen	adolescente
teen	adolescentes
spots	manchas
spots	mancha
bomber	bombardero
bomber	bombarderos
foods	comidas
foods	alimentos
screenplay	guión
screenplay	guion
motors	motores
muscle	músculo
muscle	muscular
sheep	ovinos
sheep	ovino
sheep	ovejas
sheep	oveja
complaints	quejas
complaints	denuncias
complaints	reclamaciones
nursing	enfermería
defenders	defensoras
defenders	defensores
triangle	triángulo
teeth	muelas
teeth	dientes
teeth	dentadura
teeth	diente
fluid	fluidos
fluid	fluida
fluid	líquido
fluid	fluido
fed	alimentado
fed	alimentaba
fed	alimentados
fed	alimentaron
fed	alimentaban
fed	alimentada
fed	alimentadas
fed	alimentó
documentation	documentación
compounds	compone
compounds	compuestos
instances	instancias
laser	láseres
laser	láser
sculptor	escultor
guild	gremio
observer	observador
observer	observadora
worlds	mundos
wrestler	luchador
wrestler	luchadora
parishes	parroquias
bones	huesos
css	css
contracts	contratos
consequences	consecuencias
provisions	provisiones
provisions	disposiciones
circulation	circulación
circulation	tirada
butterfly	mariposas
butterfly	mariposa
algeria	argelia
armies	ejércitos
separation	separación
spy	espías
spy	espía
spy	espiar
cliff	barranco
cliff	acantilados
cliff	acantilado
cliff	precipicio
reactions	reacciones
trick	truque
trick	truco
curve	curvo
curve	curvas
curve	curva
curve	curvan
accidents	accidentes
accidents	accidente
horizontal	horizontales
horizontal	horizontalmente
legends	leyendas
legends	leyenda
enzyme	enzimas
enzyme	enzima
freight	fleta
freight	mercancías
freight	flete
freight	fletes
hydrogen	hidrógeno
broadcasts	transmisiones
broadcasts	emisiones
twentieth	vigésimo
twentieth	vigésima
cuts	cortes
cuts	recorta
cuts	corta
cuts	recortes
mediation	mediación
airfield	aeródromo
catalog	catalogar
catalog	catálogo
catalog	catalogan
catalog	cataloga
catalog	catalogue
catalog	catalogo
synthesis	síntesis
rape	violaciones
rape	violación
engagement	interacción
engagement	compromiso
coin	moneda
coin	monedas
platinum	platino
twins	gemelos
twins	gemelas
twins	mellizos
memories	recuerdos
memories	memorias
anthology	antología
dinner	cena
dinner	cenar
dinner	cenas
retreat	nos
retreat	me
retreat	retirar
retreat	retiren
retreat	retira
retreat	te
retreat	se
retreat	retire
retreat	retirada
retreat	retirarse
retreat	retiro
retreat	retiran
retreat	os
migration	emigración
migration	migración
migration	migraciones
magnitude	magnitud
duration	duración
explorer	exploradora
explorer	explorador
fusion	fusión
aids	sida
aids	ayuda
aids	ayudas
aids	es
automobile	automóvil
automobile	automóviles
estates	haciendas
estates	fincas
pound	libran
pound	libro
pound	libras
pound	libre
pound	librar
pound	libra
delay	retrasar
delay	retraso
delay	demora
delay	retardo
delay	demoran
delay	retardar
delay	tardanza
delay	retarda
delay	retrasan
delay	demoras
delay	retrasa
delay	demorar
developers	promotores
developers	desarrolladores
semifinals	semifinales
semifinals	semifinal
mayors	alcaldes
assumption	asunción
assumption	suposición
plates	chapa
plates	planchas
plates	placas
plates	platos
plates	chapas
plates	plancha
nominee	nominada
nominee	nominado
disruption	interrupción
hearts	corazones
victories	victorias
pale	pálida
pale	pálido
pursuit	persecución
glory	gloria
destroyer	destructores
destroyer	destructor
affiliate	afiliados
affiliate	afiliado
affiliate	afiliadas
gathering	reunión
gathering	recolección
gathering	reuniendo
configuration	configuración
skill	destreza
skill	habilidades
skill	habilidad
commitment	compromiso
reforms	reforma
reforms	reformas
rulers	soberanos
rulers	gobernantes
breed	reproducirse
breed	nos
breed	raza
breed	razas
breed	me
breed	te
breed	mestizo
breed	se
breed	os
auxiliary	auxiliar
auxiliary	auxiliares
discography	discografía
licence	licencias
licence	licenciar
licence	licencia
refugees	refugia
refugees	refugiados
refugees	refugiadas
refugees	refugiado
pipe	tubo
pipe	tubería
pipe	pipa
designers	diseñadores
heir	heredera
heir	heredero
advisor	asesora
advisor	consejera
advisor	asesor
advisor	consejero
announcement	anuncio
compact	pacto
compact	compactos
compact	pactan
compact	pactar
compact	pacte
compact	compacto
compact	compactas
compact	pacta
compact	compactar
compact	compacta
tissue	teje
tissue	tejido
tissue	tejo
tissue	tejer
tissue	tejen
tissue	teja
tissue	tejidos
particles	partículas
receiver	receptor
civilians	civil
civilians	civiles
vinyl	vinilos
vinyl	vinilo
wednesday	miercoles
wednesday	miércoles
checking	comprobando
checking	comprobación
chilean	chilena
chilean	chileno
chilean	chilenos
chilean	chile
hey	ey
hey	oye
chambers	cámaras
chambers	salas
demo	demostración
followers	seguidores
observatory	observatorio
remarks	observaciones
inns	posa
inns	posadas
monarch	monarca
observations	observaciones
beetle	escarabajos
beetle	escarabajo
cream	cremas
cream	creme
cream	nata
cream	crema
cream	nacen
cream	nazcan
cream	nacemos
cream	nazca
cream	nacer
cream	nace
presenter	presentador
presenter	presentadora
favourite	favorito
favourite	favoritos
favourite	favorita
transformation	transformaciones
transformation	transformación
nineteenth	xix
mixture	mezcla
browser	navegador
browser	explorador
everybody	todos
illustration	ilustración
brook	arroyo
geometry	geometría
aggregate	agrega
aggregate	agregados
aggregate	agregar
aggregate	agregue
aggregate	agregan
aggregate	agregado
aggregate	agreguen
aggregate	agregada
aggregate	agregamos
aggregate	agregas
aggregate	agrego
variants	variantes
baroque	barroca
baroque	barroco
iso	iso
hopes	esperanzas
hopes	esperanza
modes	modos
servant	sirviente
servant	criado
servant	sirvienta
servant	siervo
hurt	nos
hurt	hiere
hurt	hirieron
hurt	lastimada
hurt	hiera
hurt	me
hurt	heridas
hurt	herido
hurt	herida
hurt	te
hurt	se
hurt	lastimarse
hurt	lastimado
hurt	heridos
hurt	hirió
hurt	lastimados
hurt	herir
hurt	hieren
hurt	os
maker	hacedor
maker	creador
stability	estabilidad
summaries	resúmenes
beetles	escarabajos
jets	chorros
logos	logotipos
kilometers	kilómetros
kilometers	kilometros
songwriters	compositores
buddhism	budismo
nose	nariz
pace	ritmo
thunder	trueno
thunder	truenos
physicians	medicos
physicians	médicos
physicians	facultativos
crops	cosecha
crops	cosechas
crops	cultivos
toll	peajes
toll	peaje
monk	monje
lessons	lecciones
lessons	enseñanzas
lessons	clases
pub	taberna
paralympics	paralímpicos
segments	segmentos
deer	venado
deer	ciervo
deer	ciervos
wireless	inalámbrico
wireless	inalámbricas
wireless	inalámbrica
wireless	inalámbricos
consultant	asesor
consultant	consultor
consultant	consultora
consultant	asesora
formats	formatos
jam	atasco
jam	atasca
jam	mermeladas
jam	mermelada
chicken	pollo
chicken	pollos
chicken	pollito
chicken	gallina
idol	ídolo
births	partos
births	nacimientos
pet	mascotas
pet	mascota
upset	disgusto
upset	disgustada
upset	molestada
upset	molesto
upset	molestó
upset	disgusta
upset	molesten
upset	molestan
upset	molestas
upset	disgustados
upset	molesta
upset	molestaba
upset	molestados
upset	disgustaron
upset	molestaron
upset	moleste
upset	disgustado
upset	molestaban
upset	disgustó
upset	molestado
upset	molestar
upset	disgustaba
stretch	estira
stretch	estiramiento
stretch	estiran
stretch	traman
stretch	tramar
stretch	tramo
stretch	trama
stretch	tramas
stretch	estirar
striker	delantero
goddess	diosa
burials	entierros
notion	noción
voltage	tensión
voltage	voltaje
geology	geología
cyclone	ciclón
export	exportaciones
export	exportación
export	exportan
export	exportar
export	exporta
lightning	rayar
lightning	rayo
lightning	relámpago
lightning	relámpagos
lightning	rayan
lightning	raya
lightning	rayos
lightning	raye
lightning	rayas
yankees	yanquis
pond	laguna
pond	estanque
moments	momentos
moments	instantes
conjunction	conjunción
interim	provisional
interim	provisionales
interim	interina
interim	interino
regiments	regimientos
toy	juguete
toy	juguetes
bicycle	bicicleta
bicycle	bici
bicycle	bicicletas
interactions	interacciones
interactions	interacción
fraud	fraudes
fraud	fraude
arcade	arcade
lecture	conferencia
lecture	cátedra
sanctuary	santuario
dragons	dragones
nurse	enfermera
nurse	enfermero
rivals	rivales
module	módulo
module	módulos
module	modulo
supplement	complementar
supplement	complemente
supplement	complementen
supplement	complementan
supplement	suplementos
supplement	suplemento
supplement	complemento
supplement	complementa
lens	cristalino
lens	lentes
lens	lente
patron	mecenas
patron	patrón
patron	patrona
commands	mandos
commands	comandos
trend	tendencia
trend	tendencias
superintendent	superintendente
rap	rap
blade	file
blade	filo
blade	filas
blade	cuchilla
blade	hoja
blade	espada
blade	fila
array	matriz
patrolling	patrullas
patrolling	patrullaje
patrolling	patrullar
patrolling	patrullando
committees	comisiones
committees	comités
boom	auge
boom	bum
sailors	marineros
sailors	marinos
smoke	fuma
smoke	fume
smoke	fumo
smoke	fumar
smoke	fuman
smoke	humos
smoke	humo
assassination	asesinatos
assassination	asesinato
divorce	divorcios
divorce	divorcia
divorce	divorciar
divorce	divorcio
divorce	divorcian
dust	polvo
saxon	sajones
grain	granos
grain	grano
grain	cereales
grain	grana
executives	ejecutivos
executives	ejecutivas
translations	traducción
translations	traducciones
diving	bucear
diving	submarinismo
diving	buceo
diving	buceando
accounting	contabilidad
accounting	contable
mesa	meseta
mesa	misa
cherry	cereza
cherry	cerezas
cherry	cerezo
tobacco	tabaco
varieties	variedades
bench	banco
bench	banque
bench	bancas
bench	banca
directions	direcciones
directions	indicaciones
directions	instrucciones
measurement	medida
measurement	mediciones
measurement	medición
paradise	paraíso
paradise	paraiso
complement	complementar
complement	complemente
complement	complementen
complement	complementan
complement	complemento
complement	complementa
witch	brujo
witch	bruja
attraction	atracción
attraction	atractivo
personalities	personalidad
personalities	personalidades
colleagues	colegas
colleagues	compañeros
screenwriter	guionista
rankings	clasificaciones
rankings	ranking
aboriginal	aborígenes
aboriginal	aborigen
commanders	comandantes
firms	firmas
firms	firma
sanctions	sanciones
sanctions	sanciona
americas	américa
endings	finales
instructor	instructora
nobility	nobleza
tomorrow	manana
tomorrow	mañana
manuscripts	manuscritos
scouts	exploradores
scouts	cazatalentos
investigations	investigaciones
agenda	temario
provision	provisión
humanity	humanidad
terror	terrorismo
contestants	participantes
contestants	concursantes
circles	círculos
assignment	cesión
assignment	asignación
shrine	santuario
ranch	rancho
vampire	vampiro
vampire	vampiros
playwright	dramaturgo
associates	asociadas
associates	socios
associates	asocia
associates	asociados
flags	pabellones
flags	banderas
shorts	short
shorts	cortos
drives	maneja
drives	impulsa
drives	conduce
autobiography	autobiografía
uprising	revuelta
uprising	revolviendo
uprising	insurrección
uprising	levantamiento
uprising	rebelión
uprising	sublevación
velocity	velocidad
terminology	terminología
propulsion	propulsión
boxer	boxeador
shoulder	hombros
shoulder	hombro
tactics	táctica
tactics	tácticas
rapper	rapero
privacy	confidencialidad
privacy	privacidad
privacy	intimidad
indo	indochina
flute	flauta
marines	marina
marines	infantes
feminist	feministas
feminist	feminista
feminist	feminismo
trustees	fiduciarios
trustees	síndicos
trustees	patronato
sculptures	esculturas
sculptures	escultura
bacteria	bacterias
landmarks	hitos
disorders	desórdenes
disorders	trastornos
rivalry	rivalidad
rivalry	rivalidades
prevention	prevención
circus	circo
speculation	especulaciones
speculation	especulación
sec	sec
sec	seg
quiet	nos
quiet	callado
quiet	me
quiet	silencia
quiet	silenciar
quiet	callarse
quiet	silencio
quiet	te
quiet	se
quiet	tranquila
quiet	tranquilidad
quiet	tranquilo
quiet	cállate
quiet	os
knee	rodilla
knee	rodillas
hypothesis	hipótesis
referendum	referendos
referendum	referendo
referendum	plebiscito
referendum	referéndum
pastor	pastora
tribune	tribuna
permit	permites
permit	permitan
permit	permiso
permit	permiten
permit	permita
permit	permite
permit	permitimos
permit	permito
permit	permitir
priority	prioritaria
priority	prioritario
priority	prioridad
priority	prelación
pounds	kilos
pounds	libra
pounds	libras
cent	centavo
cent	céntimos
cent	céntimo
consequence	consecuencia
furniture	mobiliario
furniture	muebles
furniture	mueble
estimate	estimar
estimate	estimación
estimate	estimo
estimate	estimado
estimate	estimaciones
estimate	estime
estimate	estiman
estimate	estima
estimate	estimen
rotation	rotación
syracuse	siracusa
lecturer	conferenciante
classics	clásicas
classics	clásicos
naples	nápoles
offense	ofensa
exceptions	excepciones
quarters	cuartos
quarters	trimestres
drawings	dibujos
refuge	refugiar
refuge	refugian
refuge	refugio
refuge	refugia
conventions	convenciones
conventions	convenios
diplomat	diplomática
diplomat	diplomático
searches	búsquedas
particle	partículas
particle	partícula
thursday	jueves
icon	ícono
icon	icono
ulster	ulster
infinite	infinitos
infinite	infinita
infinite	infinitas
infinite	infinito
portraits	retrato
portraits	retrata
portraits	retratos
saxony	sajonia
rhine	rhin
rhine	rin
mineral	minerales
surgeon	cirujana
surgeon	cirujano
badge	placa
badge	insignia
clause	cláusula
clause	cláusulas
infection	infecciones
infection	infección
electron	electrón
electron	electrones
confederation	confederación
doctorate	doctora
doctorate	doctorado
aux	aux
settings	configuración
settings	preferencias
settings	configuraciones
settings	ajustes
mask	mascar
mask	masque
mask	máscara
mask	masca
mask	mascarilla
mask	mascara
shelter	refugiar
shelter	albergar
shelter	albergan
shelter	albergue
shelter	refugian
shelter	albergo
shelter	refugio
shelter	refugios
shelter	refugia
shelter	alberga
ethnicity	etnias
ethnicity	etnia
ethnicity	étnica
ethnicity	étnico
elimination	eliminación
delegates	delegados
delegates	delegadas
delegates	delega
phrases	frases
preference	preferencia
concerto	concierto
construct	construye
construct	construyo
construct	construyen
construct	construya
construct	construyan
construct	construir
construct	construimos
tune	afinan
tune	sintoniza
tune	afina
tune	melodía
tune	sintonizan
tune	afinar
tune	sintonizar
bulk	grueso
bulk	granel
lighthouse	faro
highland	altiplano
mascot	mascota
squadrons	escuadrones
acceptance	aceptación
mess	lía
mess	lío
mess	liar
mess	desorden
mess	lías
wilderness	selva
routine	rutinario
routine	rutina
dozens	docenas
dozens	decenas
harmony	armonía
entrepreneur	emprendedora
entrepreneur	emprendedores
entrepreneur	empresario
entrepreneur	empresaria
entrepreneur	emprendedor
runway	pasarela
runway	pista
anton	antón
moses	moisés
fake	falsa
fake	false
fake	farsante
fake	falsas
fake	falso
fake	falsos
revolt	revuelta
revolt	revuelve
revolt	revolver
revolt	rebelión
equity	equidad
providence	providencia
investors	inversionistas
investors	inversores
reliability	confiabilidad
reliability	fiabilidad
fights	luchas
fights	pelea
fights	lucha
fights	peleas
pocket	bolsillo
troy	troya
treasure	tesoros
treasure	tesoro
ion	iones
adoption	adopciones
adoption	aprobación
adoption	adopción
decrease	descenso
decrease	disminuyen
decrease	disminuir
decrease	disminuya
decrease	disminuyan
decrease	disminución
decrease	disminuye
decrease	disminuyo
crop	recortar
crop	recortan
crop	cultivo
crop	cultivar
crop	cosechan
crop	cultivos
crop	cultivan
crop	cultiva
crop	recorte
crop	recorta
crop	cosechar
crop	cosechas
crop	cosecha
crop	cultiven
licensing	licencias
licensing	licencia
advocacy	promoción
treasury	tesorería
treasury	tesoro
treasury	hacienda
collector	colector
collector	coleccionistas
collector	recaudador
collector	coleccionista
cluster	cúmulo
roller	rodillo
roller	rodillos
clothes	ropas
clothes	ropa
compensation	indemnizaciones
compensation	compensación
compensation	indemnización
compensation	compensaciones
consent	consiente
consent	consienten
consent	consentimiento
consent	consentir
outline	esquema
outline	contorno
outline	esbozar
outline	esbozo
outline	esboza
holdings	participaciones
holdings	explotaciones
holdings	tenencias
darkness	tinieblas
darkness	oscuridad
penalties	castigos
penalties	penalizaciones
penalties	penas
penalties	sanciones
bombers	bombarderos
holes	hoyos
holes	agujeros
holes	huecos
blow	soplo
blow	soplar
blow	soplan
blow	sopla
blow	sople
cooking	cocinar
cooking	cocción
cooking	cocina
cooking	cocinando
aftermath	secuelas
trainer	formador
trainer	entrenador
trainer	formadores
trainer	entrenadora
lawsuit	demanda
lawsuit	pleito
consciousness	consciencia
consciousness	conciencia
archaeology	arqueología
scorer	goleador
stamp	sellar
stamp	sello
stamp	sella
stamp	selle
stamp	sellos
stamp	sellan
stamp	estampilla
fur	pieles
fur	piel
fur	peletería
fur	pelaje
estimates	estima
estimates	estimaciones
estimates	estimados
ritual	rituales
locality	localidad
trace	traza
trace	trazas
trace	rastro
trace	trazo
trace	trazar
trace	trazan
trace	trazamos
marble	mármol
foundations	fundamentos
foundations	fundaciones
foundations	cimientos
derivative	derivadas
derivative	derivado
derivative	derivados
derivative	derivada
boxers	boxeadores
dimension	dimensionar
dimension	dimensión
dimension	dimensiones
bats	murciélagos
yugoslav	yugoslava
yugoslav	yugoslavos
yugoslav	yugoslavo
yugoslav	yugoslavia
motto	lema
streak	racha
likes	gusta
likes	gustos
genres	géneros
galleries	galería
galleries	galerías
councils	concejos
councils	consejos
brass	latón
brass	bronce
counsel	letrado
counsel	aboga
counsel	abogo
counsel	abogada
counsel	abogar
counsel	abogado
counsel	abogan
advertisement	publicidad
advertisement	anuncio
protagonist	protagonista
mistakes	errores
bag	bolsa
bag	bolso
tan	nos
tan	bronceado
tan	me
tan	te
tan	se
tan	os
climb	escalar
climb	suban
climb	subida
